,number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_max_length,params_weight_decay,system_attrs_NSGAIISampler:generation,state
0,0,0.3682775259017944,0.30802359018158,2026-02-21 03:09:15.591590,2026-02-21 03:22:59.986977,0 days 00:13:44.395387,32,0.0001671869807468262,512,0.004897864855586387,0,COMPLETE
1,1,0.45604266226291656,0.24739156496733639,2026-02-21 03:22:59.988808,2026-02-21 03:37:17.821545,0 days 00:14:17.832737,16,4.323327980415123e-05,512,0.005621827603492469,0,COMPLETE
2,2,0.826565957069397,0.0,2026-02-21 03:37:17.823611,2026-02-21 03:51:35.027229,0 days 00:14:17.203618,16,6.00777609598174e-06,512,0.09222293839617181,0,COMPLETE
3,3,4.856396198272705,4.102134549020756e-05,2026-02-21 03:51:35.030994,2026-02-21 04:05:36.327463,0 days 00:14:01.296469,32,1.0688893522517043e-06,256,0.05632268032634668,0,COMPLETE
4,4,0.368991893529892,0.32787791183220766,2026-02-21 04:05:36.329492,2026-02-21 04:13:59.426655,0 days 00:08:23.097163,16,0.0003280018219950944,256,0.05205555800718145,0,COMPLETE
5,5,0.8128839492797851,0.0,2026-02-21 04:13:59.428817,2026-02-21 04:27:57.379932,0 days 00:13:57.951115,32,1.2427513376137767e-05,256,0.0451214106115052,0,COMPLETE
6,6,0.7888065200102957,0.0,2026-02-21 04:27:57.382092,2026-02-21 04:43:01.426397,0 days 00:15:04.044305,8,4.111883984087912e-06,256,0.017186330465787526,0,COMPLETE
7,7,0.35370325885320963,0.3258222361491451,2026-02-21 04:43:01.428500,2026-02-21 04:56:15.980046,0 days 00:13:14.551546,8,6.993121092356871e-05,256,0.08004515902013949,0,COMPLETE
8,8,0.3617638319730759,0.32272211140020757,2026-02-21 04:56:15.982044,2026-02-21 05:01:49.088095,0 days 00:05:33.106051,16,0.0005215266812097992,256,0.017736099884021906,0,COMPLETE
9,9,0.3816993415355682,0.3214188181278298,2026-02-21 05:01:49.091004,2026-02-21 05:15:44.603769,0 days 00:13:55.512765,16,9.685617129443703e-05,256,0.07826044461333591,0,COMPLETE
10,10,4.444488048553467,0.0025242947632498933,2026-02-21 05:15:44.606399,2026-02-21 05:30:04.220958,0 days 00:14:19.614559,16,1.1707215320005993e-06,512,0.051695796674571665,0,COMPLETE
11,11,0.33422144227906275,0.33313354435601555,2026-02-21 05:30:04.222922,2026-02-21 05:35:53.017975,0 days 00:05:48.795053,8,0.0007666693852744644,256,0.00386950595500849,0,COMPLETE
12,12,4.550708484649658,0.0247044325793949,2026-02-21 05:35:53.020758,2026-02-21 05:49:52.636043,0 days 00:13:59.615285,32,2.3019053477761943e-06,256,0.09655021540849831,0,COMPLETE
