,number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_max_length,params_weight_decay,system_attrs_NSGAIISampler:generation,state
0,0,0.3464663194285499,0.32634285297934523,2026-03-12 11:51:34.794087,2026-03-12 11:55:18.071570,0 days 00:03:43.277483,16,0.00027000000000000006,512,0.03,0,COMPLETE
1,1,0.33754374725478037,0.33130410706446645,2026-03-12 11:55:18.072062,2026-03-12 11:57:57.104009,0 days 00:02:39.031947,8,0.00044000000000000007,256,0.08,0,COMPLETE
2,2,0.3508330202764935,0.32132715233446185,2026-03-12 11:57:57.104419,2026-03-12 12:02:04.351592,0 days 00:04:07.247173,32,0.00026000000000000003,256,0.085,0,COMPLETE
3,3,0.3403000796542448,0.32381895405268485,2026-03-12 12:02:04.351909,2026-03-12 12:04:41.809553,0 days 00:02:37.457644,8,0.00059,512,0.015,0,COMPLETE
4,4,0.34523562838633853,0.3330954582415182,2026-03-12 12:04:41.809927,2026-03-12 12:07:16.980593,0 days 00:02:35.170666,16,0.0003400000000000001,256,0.09,0,COMPLETE
5,5,0.3632948775501812,0.3374282561503227,2026-03-12 12:07:16.980953,2026-03-12 12:11:02.544892,0 days 00:03:45.563939,8,0.00033000000000000005,512,0.09,0,COMPLETE
6,6,0.35002217690149945,0.3328012553208386,2026-03-12 12:11:02.545257,2026-03-12 12:16:53.483603,0 days 00:05:50.938346,16,0.00016,512,0.01,0,COMPLETE
7,7,0.8648699389563667,0.0,2026-03-12 12:16:53.484003,2026-03-12 12:18:37.685681,0 days 00:01:44.201678,16,0.0006100000000000001,512,0.01,0,COMPLETE
8,8,0.35047178467114765,0.3253466181886622,2026-03-12 12:18:37.686035,2026-03-12 12:21:13.408580,0 days 00:02:35.722545,16,0.0007500000000000001,512,0.005,0,COMPLETE
9,9,0.8784644484519959,0.0,2026-03-12 12:21:13.408971,2026-03-12 12:22:57.223745,0 days 00:01:43.814774,32,0.0008800000000000001,512,0.01,0,COMPLETE
10,10,0.8719777703285218,0.0,2026-03-12 12:22:57.224141,2026-03-12 12:24:41.245073,0 days 00:01:44.020932,32,0.00051,512,0.045,0,COMPLETE
11,11,0.8359832896126641,0.0,2026-03-12 12:24:41.245459,2026-03-12 12:26:38.819612,0 days 00:01:57.574153,32,0.0005700000000000001,256,0.015,0,COMPLETE
12,12,0.8460009038448334,0.0,2026-03-12 12:26:38.819983,2026-03-12 12:29:37.214572,0 days 00:02:58.394589,8,0.0009,256,0.015,0,COMPLETE
13,13,0.8390990959273444,0.0,2026-03-12 12:29:37.215006,2026-03-12 12:31:33.291119,0 days 00:01:56.076113,32,0.0008500000000000001,256,0.09,0,COMPLETE
14,14,0.8437191016144223,0.0,2026-03-12 12:31:33.291467,2026-03-12 12:34:24.775374,0 days 00:02:51.483907,16,0.0005800000000000001,256,0.005,0,COMPLETE
15,15,0.5505313396453857,0.20381207807046284,2026-03-12 12:34:24.775767,2026-03-12 12:43:03.504627,0 days 00:08:38.728860,32,0.00024,512,0.05,0,COMPLETE
16,16,0.4202849268913269,0.2918510564363274,2026-03-12 12:43:03.505035,2026-03-12 12:51:40.568664,0 days 00:08:37.063629,32,0.00013000000000000002,512,0.06,0,COMPLETE
17,17,0.35519609848658246,0.34150498223411246,2026-03-12 12:51:40.569067,2026-03-12 12:54:29.920469,0 days 00:02:49.351402,16,0.00031000000000000005,256,0.07,0,COMPLETE
18,18,0.34228526883655125,0.3183305107164217,2026-03-12 12:54:29.920820,2026-03-12 12:57:51.092237,0 days 00:03:21.171417,32,0.00027000000000000006,256,0.01,0,COMPLETE
19,19,0.8763531684875489,0.0,2026-03-12 12:57:51.092614,2026-03-12 13:01:34.728081,0 days 00:03:43.635467,32,0.00047000000000000004,512,0.025,0,COMPLETE
20,20,0.36556415557861327,0.31317614922620196,2026-03-12 13:01:34.728493,2026-03-12 13:10:13.551956,0 days 00:08:38.823463,32,0.00013000000000000002,512,0.05,0,COMPLETE
21,21,0.3539686467912462,0.3258528571474556,2026-03-12 13:10:13.552346,2026-03-12 13:16:46.548179,0 days 00:06:32.995833,16,0.00011,512,0.1,0,COMPLETE
22,22,0.3368569877530847,0.32894117848195853,2026-03-12 13:16:46.548550,2026-03-12 13:19:26.290385,0 days 00:02:39.741835,8,0.00051,256,0.0,0,COMPLETE
23,23,0.8614766200383505,0.0,2026-03-12 13:19:26.290758,2026-03-12 13:22:16.594728,0 days 00:02:50.303970,16,0.0007500000000000001,512,0.015,0,COMPLETE
24,24,0.35062489410241443,0.32870923144133996,2026-03-12 13:22:16.595121,2026-03-12 13:27:01.433340,0 days 00:04:44.838219,32,0.00021,256,0.05,0,COMPLETE
25,25,0.3393205317358176,0.3244057828391243,2026-03-12 13:27:01.433693,2026-03-12 13:29:47.188183,0 days 00:02:45.754490,16,0.00021,256,0.08,0,COMPLETE
26,26,0.3470123616712434,0.3285812822311579,2026-03-12 13:29:47.188565,2026-03-12 13:38:58.620874,0 days 00:09:11.432309,8,3.0000000000000004e-05,256,0.0,0,COMPLETE
