,number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_max_length,params_weight_decay,system_attrs_NSGAIISampler:generation,state
0,0,0.3354935050010681,0.5948891394212703,2026-03-05 21:48:04.641333,2026-03-05 22:01:01.004964,0 days 00:12:56.363631,32,0.00030000000000000003,512,0.05,0,COMPLETE
1,1,0.3099099472165108,0.6163663663663664,2026-03-05 22:01:01.006543,2026-03-05 22:06:54.583283,0 days 00:05:53.576740,16,0.0008200000000000001,256,0.04,0,COMPLETE
2,2,0.3189829885959625,0.609140906504836,2026-03-05 22:06:54.584867,2026-03-05 22:17:18.623135,0 days 00:10:24.038268,8,8e-05,512,0.1,0,COMPLETE
3,3,0.3104612588882446,0.613268909124698,2026-03-05 22:17:18.624815,2026-03-05 22:24:03.367916,0 days 00:06:44.743101,32,0.0008800000000000001,256,0.06,0,COMPLETE
4,4,0.3257595583796501,0.6397562833206397,2026-03-05 22:24:03.369409,2026-03-05 22:30:59.142445,0 days 00:06:55.773036,16,0.0008200000000000001,256,0.075,0,COMPLETE
5,5,0.8338302248402646,0.0,2026-03-05 22:30:59.144072,2026-03-05 22:35:55.062448,0 days 00:04:55.918376,8,0.0008400000000000001,512,0.05,0,COMPLETE
6,6,0.3265928104519844,0.6046511627906977,2026-03-05 22:35:55.064070,2026-03-05 22:43:58.926021,0 days 00:08:03.861951,16,0.00035000000000000005,512,0.065,0,COMPLETE
7,7,0.32737074941396715,0.6132241076653012,2026-03-05 22:43:58.927480,2026-03-05 22:49:43.753050,0 days 00:05:44.825570,16,0.00068,512,0.09,0,COMPLETE
8,8,0.8122808933258057,0.0,2026-03-05 22:49:43.754690,2026-03-05 22:55:18.675391,0 days 00:05:34.920701,32,0.0008400000000000001,512,0.065,0,COMPLETE
9,9,0.3301422566175461,0.6025712688652878,2026-03-05 22:55:18.677122,2026-03-05 23:02:14.256559,0 days 00:06:55.579437,16,0.0006200000000000001,256,0.075,0,COMPLETE
10,10,0.32354153457440826,0.5993150684931507,2026-03-05 23:02:14.258447,2026-03-05 23:11:26.245118,0 days 00:09:11.986671,8,0.00012,512,0.01,0,COMPLETE
11,11,0.3365621089935303,0.5888951205832865,2026-03-05 23:11:26.246889,2026-03-05 23:28:09.675798,0 days 00:16:43.428909,32,0.00014000000000000001,256,0.03,0,COMPLETE
12,12,0.8308701170118231,0.0,2026-03-05 23:28:09.677673,2026-03-05 23:36:00.981324,0 days 00:07:51.303651,8,0.00068,512,0.08,0,COMPLETE
13,13,0.30788289873223557,0.5945155393053017,2026-03-05 23:36:00.982931,2026-03-05 23:40:53.558982,0 days 00:04:52.576051,8,0.00064,512,0.035,0,COMPLETE
14,14,0.325411319732666,0.6069483568075117,2026-03-05 23:40:53.560637,2026-03-05 23:53:08.060536,0 days 00:12:14.499899,32,0.00032,256,0.04,0,COMPLETE
