,number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_max_length,params_weight_decay,system_attrs_NSGAIISampler:generation,state
0,0,0.5275753346773294,0.34611344537815125,2026-02-23 10:07:55.838242,2026-02-23 10:18:32.700685,0 days 00:10:36.862443,8,1.7876741056123024e-05,1024,0.025956860927263695,0,COMPLETE
1,1,0.747640922665596,0.00086617583369424,2026-02-23 10:18:32.701534,2026-02-23 10:27:46.313295,0 days 00:09:13.611761,32,1.3278830901304521e-05,768,0.023773349889793086,0,COMPLETE
2,2,0.4946269943163945,0.37449392712550605,2026-02-23 10:27:46.313957,2026-02-23 10:37:28.888848,0 days 00:09:42.574891,8,2.343320825919091e-05,1024,0.07864684842431713,0,COMPLETE
3,3,0.3471216559410095,0.5200845665961945,2026-02-23 10:37:28.889438,2026-02-23 10:39:59.910007,0 days 00:02:31.020569,8,0.00014032845168389295,512,0.008376581517357219,0,COMPLETE
4,4,0.6882448047399521,0.04898266767143933,2026-02-23 10:39:59.910815,2026-02-23 10:49:13.108372,0 days 00:09:13.197557,32,2.4616896645147984e-05,768,0.015086056075810796,0,COMPLETE
5,5,0.3327077031135559,0.5281276238455079,2026-02-23 10:49:13.108979,2026-02-23 10:56:21.578287,0 days 00:07:08.469308,16,0.00012936532720195338,768,0.07735576428276313,0,COMPLETE
6,6,0.3991975821554661,0.46303674192120414,2026-02-23 10:56:21.578882,2026-02-23 11:04:57.676953,0 days 00:08:36.098071,16,6.235606365704444e-05,768,0.05900372260891615,0,COMPLETE
7,7,0.3383082300424576,0.5190049751243782,2026-02-23 11:04:57.677616,2026-02-23 11:10:28.636862,0 days 00:05:30.959246,32,0.00034458380631267703,768,0.018838081399423758,0,COMPLETE
8,8,0.3317084441582362,0.5270299846793609,2026-02-23 11:10:28.637511,2026-02-23 11:15:22.970509,0 days 00:04:54.332998,8,0.00016211922842850957,768,0.01634557399138158,0,COMPLETE
9,9,0.6041666269302368,0.3055170501802052,2026-02-23 11:15:22.971176,2026-02-23 11:24:01.054564,0 days 00:08:38.083388,16,1.6009636779817463e-05,768,0.08276462986807552,0,COMPLETE
10,10,0.36742023485047476,0.48476936466492604,2026-02-23 11:24:01.055185,2026-02-23 11:35:10.691318,0 days 00:11:09.636133,16,0.00010622206313143404,1024,0.05064849003365446,0,COMPLETE
11,11,0.36124371488889057,0.5415730337078652,2026-02-23 11:35:10.691985,2026-02-23 11:37:57.960030,0 days 00:02:47.268045,16,0.0006467604811196602,512,0.034997570410802925,0,COMPLETE
12,12,0.35071031749248505,0.492089925062448,2026-02-23 11:37:57.960424,2026-02-23 11:46:31.890239,0 days 00:08:33.929815,32,0.00021866867212310567,768,0.07742948897678735,0,COMPLETE
13,13,0.3490229547023773,0.5319524019391803,2026-02-23 11:46:31.890890,2026-02-23 11:54:18.010070,0 days 00:07:46.119180,32,0.000440033280029365,1024,0.011403479732666623,0,COMPLETE
14,14,0.3292294835502451,0.5618336886993603,2026-02-23 11:54:18.010591,2026-02-23 11:56:13.944464,0 days 00:01:55.933873,32,0.0006523061962376037,256,0.07127592701668338,0,COMPLETE
15,15,0.592108428478241,0.31903560414914495,2026-02-23 11:56:13.945277,2026-02-23 12:07:55.318385,0 days 00:11:41.373108,32,4.087870047923285e-05,1024,0.03749329161827236,0,COMPLETE
16,16,0.31522185958567117,0.5493780147245494,2026-02-23 12:07:55.319036,2026-02-23 12:09:27.523260,0 days 00:01:32.204224,16,0.0005051921810591542,256,0.08588940411672408,0,COMPLETE
17,17,0.7646814346313476,0.0030075187969924814,2026-02-23 12:09:27.523830,2026-02-23 12:16:30.593999,0 days 00:07:03.070169,32,1.0649107423309196e-05,512,0.03709292119608675,0,COMPLETE
18,18,0.6592258555548531,0.21831955922865015,2026-02-23 12:16:30.594679,2026-02-23 12:27:43.928340,0 days 00:11:13.333661,16,1.6778422954293355e-05,1024,0.05442066109241387,0,COMPLETE
19,19,0.4630494392835177,0.395243757431629,2026-02-23 12:27:43.928938,2026-02-23 12:37:27.140046,0 days 00:09:43.211108,8,2.5705887434991597e-05,1024,0.04838740574583711,0,COMPLETE
20,20,0.35609080642461777,0.5152391546162403,2026-02-23 12:37:27.140769,2026-02-23 12:49:06.710898,0 days 00:11:39.570129,32,0.00021240668548534261,1024,0.013755090743223487,0,COMPLETE
21,21,0.3781993037498579,0.5693997856377278,2026-02-23 12:49:06.711524,2026-02-23 12:51:20.105424,0 days 00:02:13.393900,8,0.00036539959460147567,256,0.0469762332207021,0,COMPLETE
22,22,0.35349178314208984,0.5042087542087542,2026-02-23 12:51:20.106085,2026-02-23 13:00:31.409276,0 days 00:09:11.303191,32,0.00019396802037702915,768,0.03256216605340027,0,COMPLETE
23,23,0.502783976495266,0.3864491844416562,2026-02-23 13:00:31.409848,2026-02-23 13:12:13.356369,0 days 00:11:41.946521,32,7.605103384537645e-05,1024,0.049360936991302166,0,COMPLETE
24,24,0.3321327591935794,0.5511615044247788,2026-02-23 13:12:13.357256,2026-02-23 13:14:08.867610,0 days 00:01:55.510354,16,0.0002828209045478781,256,0.033300468274114446,0,COMPLETE
25,25,0.32774506509304047,0.5373134328358208,2026-02-23 13:14:08.868277,2026-02-23 13:19:40.231352,0 days 00:05:31.363075,32,0.0005119380161624936,768,0.024701417437422435,0,COMPLETE
26,26,0.3512434545490477,0.48360655737704916,2026-02-23 13:19:40.232076,2026-02-23 13:22:58.819037,0 days 00:03:18.586961,8,9.203197364889671e-05,512,0.04133088022276631,0,COMPLETE
27,27,0.5867536813020706,0.3192411924119241,2026-02-23 13:22:58.819745,2026-02-23 13:34:41.358056,0 days 00:11:42.538311,32,5.599894240766209e-05,1024,0.0768067820264689,0,COMPLETE
28,28,0.32760795099394663,0.5364252000820849,2026-02-23 13:34:41.358743,2026-02-23 13:40:16.018388,0 days 00:05:34.659645,16,0.00046400591745811867,1024,0.055630328430102516,0,COMPLETE
29,29,0.38676701188087464,0.47468354430379744,2026-02-23 13:40:16.019108,2026-02-23 13:47:18.767845,0 days 00:07:02.748737,32,8.686391377549806e-05,512,0.0027811102710323943,0,COMPLETE
30,30,0.44933796260091996,0.3938730853391685,2026-02-23 13:47:18.768795,2026-02-23 13:53:45.747049,0 days 00:06:26.978254,16,2.699284217278194e-05,512,0.01617907888905774,0,COMPLETE
31,31,0.3201928282777468,0.5481607484584309,2026-02-23 13:53:45.747657,2026-02-23 13:57:54.330833,0 days 00:04:08.583176,8,0.00015198372654954507,768,0.05334259564664903,0,COMPLETE
32,32,0.2978314603368441,0.5760984928889833,2026-02-23 13:57:54.331684,2026-02-23 14:00:15.044451,0 days 00:02:20.712767,8,0.0006740090758748587,768,0.06861391971404224,0,COMPLETE
33,33,0.44231596688429514,0.398487355235169,2026-02-23 14:00:15.045133,2026-02-23 14:08:02.784788,0 days 00:07:47.739655,8,2.0347134360245535e-05,768,0.04353475144311719,0,COMPLETE
