,number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_max_length,params_weight_decay,system_attrs_NSGAIISampler:generation,state
0,0,0.9401823163032532,0.0007827788649706458,2026-02-20 21:48:14.898496,2026-02-20 21:53:42.744116,0 days 00:05:27.845620,16,1.5627382453337092e-06,256,0.0853649415481718,0,COMPLETE
1,1,0.360927027463913,0.5419790104947526,2026-02-20 21:53:42.745510,2026-02-20 21:58:21.112934,0 days 00:04:38.367424,32,7.307026328494569e-05,256,0.017594259795991773,0,COMPLETE
2,2,0.33375399708747866,0.5868913857677902,2026-02-20 21:58:21.114408,2026-02-20 22:02:30.816554,0 days 00:04:09.702146,32,0.00013325021093767576,512,0.06765170620449201,0,COMPLETE
3,3,0.33396661579608916,0.5784671532846716,2026-02-20 22:02:30.817976,2026-02-20 22:04:32.475561,0 days 00:02:01.657585,16,0.0003191737278532925,256,0.08066747056530946,0,COMPLETE
4,4,0.3245212059271963,0.597089237839908,2026-02-20 22:04:32.476845,2026-02-20 22:07:14.375778,0 days 00:02:41.898933,8,5.824626098829022e-05,256,0.054839573503469165,0,COMPLETE
5,5,0.6924493218723097,0.0,2026-02-20 22:07:14.377296,2026-02-20 22:11:18.157265,0 days 00:04:03.779969,8,3.905323374401222e-06,512,0.0016612085749371786,0,COMPLETE
6,6,2.601049709320068,0.0,2026-02-20 22:11:18.158567,2026-02-20 22:15:58.844541,0 days 00:04:40.685974,32,1.1567399728326508e-06,256,0.08012492083453802,0,COMPLETE
7,7,0.714394998550415,0.0,2026-02-20 22:15:58.845944,2026-02-20 22:20:19.889362,0 days 00:04:21.043418,16,7.2498429327325885e-06,512,0.08899025555955746,0,COMPLETE
8,8,0.32650348073557806,0.5999625958481392,2026-02-20 22:20:19.890720,2026-02-20 22:23:41.361153,0 days 00:03:21.470433,8,4.154272475000644e-05,256,0.051680534978686236,0,COMPLETE
9,9,0.6027761525229404,0.21264530762687836,2026-02-20 22:23:41.362495,2026-02-20 22:27:52.031899,0 days 00:04:10.669404,8,5.204393608590139e-06,256,0.007706497107243216,0,COMPLETE
10,10,0.870417320728302,0.0,2026-02-20 22:27:52.033531,2026-02-20 22:32:32.225402,0 days 00:04:40.191871,32,3.930363661014551e-06,512,0.02477245750008196,0,COMPLETE
11,11,0.4037986725568771,0.5024029574861368,2026-02-20 22:32:32.226689,2026-02-20 22:36:52.202936,0 days 00:04:19.976247,16,2.905155004293095e-05,256,0.035443366188064894,0,COMPLETE
12,12,0.43308129279237045,0.4778938906752412,2026-02-20 22:36:52.204370,2026-02-20 22:40:56.097352,0 days 00:04:03.892982,8,1.097328477851631e-05,512,0.03581084669049356,0,COMPLETE
13,13,0.3450822800397873,0.5713185755534167,2026-02-20 22:40:56.098902,2026-02-20 22:43:23.337857,0 days 00:02:27.238955,16,0.00013796140003122196,512,0.07951603265219337,0,COMPLETE
14,14,0.7260831296443939,0.0,2026-02-20 22:43:23.339292,2026-02-20 22:47:44.259736,0 days 00:04:20.920444,16,6.112510691283882e-06,256,0.045617035412478635,0,COMPLETE
15,15,0.3854607939720154,0.5301659125188537,2026-02-20 22:47:44.261032,2026-02-20 22:52:22.806927,0 days 00:04:38.545895,32,5.8641878134050646e-05,512,0.030251871193919446,0,COMPLETE
16,16,0.7091580472494426,0.0,2026-02-20 22:52:22.808418,2026-02-20 22:56:27.472542,0 days 00:04:04.664124,8,3.7834678629996128e-06,256,0.03431647087943847,0,COMPLETE
17,17,0.3299043238162994,0.5942773294203961,2026-02-20 22:56:27.473844,2026-02-20 22:59:51.584231,0 days 00:03:24.110387,32,0.00023925158356448398,256,0.03517708707394355,0,COMPLETE
18,18,0.31625563502311704,0.6196139598362255,2026-02-20 22:59:51.585527,2026-02-20 23:02:10.976676,0 days 00:02:19.391149,32,0.0006583230277609994,512,0.07964581406783822,0,COMPLETE
19,19,1.7808126568794251,0.0,2026-02-20 23:02:10.977926,2026-02-20 23:06:32.139787,0 days 00:04:21.161861,16,1.0852982271970517e-06,256,0.013435961676672116,0,COMPLETE
20,20,0.8017816305160522,0.0,2026-02-20 23:06:32.141213,2026-02-20 23:11:12.119200,0 days 00:04:39.977987,32,5.0327167867953485e-06,256,0.07111938916760613,0,COMPLETE
21,21,0.6948164199527941,0.0,2026-02-20 23:11:12.120485,2026-02-20 23:15:15.338577,0 days 00:04:03.218092,8,4.603766447812893e-06,256,0.0703010266067543,0,COMPLETE
22,22,0.3323101526812503,0.5771513353115727,2026-02-20 23:15:15.339891,2026-02-20 23:19:07.901982,0 days 00:03:52.562091,8,3.0051184516440956e-05,512,0.03958851090198983,0,COMPLETE
23,23,0.31699694771515696,0.6046240528463181,2026-02-20 23:19:07.903268,2026-02-20 23:20:45.359327,0 days 00:01:37.456059,8,0.00029101763845681,256,0.03756820624257391,0,COMPLETE
24,24,0.7786045551300049,0.0,2026-02-20 23:20:45.360705,2026-02-20 23:25:25.037732,0 days 00:04:39.677027,32,5.9746830079504925e-06,512,0.08187424747913435,0,COMPLETE
25,25,1.7984092712402344,0.003638253638253638,2026-02-20 23:25:25.039145,2026-02-20 23:29:46.572894,0 days 00:04:21.533749,16,1.2347210962666505e-06,256,0.009684145699333558,0,COMPLETE
26,26,0.3300424814224243,0.609152288072018,2026-02-20 23:29:46.574277,2026-02-20 23:31:56.121138,0 days 00:02:09.546861,16,0.000376760859997204,256,0.08133638706888592,0,COMPLETE
27,27,0.7194178938865662,0.0,2026-02-20 23:31:56.122692,2026-02-20 23:36:35.611066,0 days 00:04:39.488374,32,1.4229313600596843e-05,512,0.019793589348001996,0,COMPLETE
28,28,0.34081933529753433,0.5788975184694071,2026-02-20 23:36:35.612891,2026-02-20 23:39:33.516841,0 days 00:02:57.903950,8,3.329008892735681e-05,512,0.05923059598326689,0,COMPLETE
29,29,0.568147498369217,0.42502482621648463,2026-02-20 23:39:33.518180,2026-02-20 23:43:54.713800,0 days 00:04:21.195620,16,1.3792198070338557e-05,256,0.0604196422643066,0,COMPLETE
30,30,0.3567409723997116,0.5795978601733998,2026-02-20 23:43:54.715057,2026-02-20 23:48:12.794359,0 days 00:04:18.079302,16,7.898670809390403e-05,256,0.04480896886459056,0,COMPLETE
31,31,0.33033766746521,0.598909090909091,2026-02-20 23:48:12.795916,2026-02-20 23:50:31.696164,0 days 00:02:18.900248,32,0.0006765776718701849,256,0.09446967501576836,0,COMPLETE
32,32,0.3812377797929864,0.5369565217391304,2026-02-20 23:50:31.697425,2026-02-20 23:54:33.693395,0 days 00:04:01.995970,8,2.0917367780316784e-05,512,0.027087919630990998,0,COMPLETE
33,33,0.9265657901763916,0.0,2026-02-20 23:54:33.695144,2026-02-20 23:58:55.181789,0 days 00:04:21.486645,16,1.496182396346324e-06,512,0.07222016134434389,0,COMPLETE
34,34,0.6832088947296142,0.0,2026-02-20 23:58:55.183123,2026-02-21 00:03:34.783657,0 days 00:04:39.600534,32,1.2473071661240336e-05,512,0.004787701217793117,0,COMPLETE
35,35,0.3459696054458618,0.5554699537750385,2026-02-21 00:03:34.785069,2026-02-21 00:08:14.049049,0 days 00:04:39.263980,32,8.591040479278403e-05,256,0.02107203272190028,0,COMPLETE
36,36,0.3327717036008835,0.5925514174541413,2026-02-21 00:08:14.050527,2026-02-21 00:11:10.995410,0 days 00:02:56.944883,8,3.934256310294966e-05,512,0.016954362553874582,0,COMPLETE
37,37,2.023023796081543,0.012275915822291504,2026-02-21 00:11:10.996980,2026-02-21 00:15:32.630886,0 days 00:04:21.633906,16,1.1186769411480318e-06,512,0.04091241983050643,0,COMPLETE
38,38,0.33264561938612086,0.6017935508490746,2026-02-21 00:15:32.632168,2026-02-21 00:18:22.113465,0 days 00:02:49.481297,8,4.87449848326976e-05,512,0.009679713399632051,0,COMPLETE
39,39,0.34800985690794495,0.5764705882352941,2026-02-21 00:18:22.115434,2026-02-21 00:22:25.137467,0 days 00:04:03.022033,8,2.811218960396268e-05,512,0.09597403427823648,0,COMPLETE
40,40,0.31662140041589737,0.606060606060606,2026-02-21 00:22:25.138817,2026-02-21 00:24:26.576752,0 days 00:02:01.437935,16,0.00025496899786215375,256,0.01555179285860847,0,COMPLETE
41,41,0.3583261430263519,0.5565184626978147,2026-02-21 00:24:26.578298,2026-02-21 00:29:04.655064,0 days 00:04:38.076766,32,6.863253607289798e-05,512,0.010524665210877294,0,COMPLETE
42,42,0.7965987450198123,0.0,2026-02-21 00:29:04.656470,2026-02-21 00:33:08.853109,0 days 00:04:04.196639,8,1.4072508877674617e-06,256,0.03194656178220628,0,COMPLETE
43,43,0.7049903210840727,0.0,2026-02-21 00:33:08.854423,2026-02-21 00:38:26.259844,0 days 00:05:17.405421,8,4.073055251208734e-06,512,0.06006489187852221,0,COMPLETE
44,44,0.334440079331398,0.6149501035586519,2026-02-21 00:38:26.261165,2026-02-21 00:40:37.771098,0 days 00:02:11.509933,16,0.0007764466649339722,512,0.026613467910739076,0,COMPLETE
