,number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_max_length,params_weight_decay,system_attrs_NSGAIISampler:generation,state
0,0,0.9341718435287476,0.12737230254437049,2026-02-24 12:11:16.742568,2026-02-24 12:27:28.076353,0 days 00:16:11.333785,32,0.0006102169668110067,256,0.028719243659083116,0,COMPLETE
1,1,0.7707010454991284,0.21743993488210508,2026-02-24 12:27:28.078414,2026-02-24 12:44:44.878095,0 days 00:17:16.799681,8,0.00011461504403582474,512,0.09341400652154286,0,COMPLETE
2,2,1.5225678443908692,0.0,2026-02-24 12:44:44.879900,2026-02-24 12:49:35.057609,0 days 00:04:50.177709,32,0.0008820371953825355,512,0.027220606928135462,0,COMPLETE
3,3,0.7534208104890936,0.2057584776740249,2026-02-24 12:49:35.059593,2026-02-24 13:06:52.594926,0 days 00:17:17.535333,8,0.0001154321934834496,256,0.022919247621009886,0,COMPLETE
4,4,1.4877222511503432,0.0,2026-02-24 13:06:52.596517,2026-02-24 13:23:13.788400,0 days 00:16:21.191883,16,8.900661736027367e-05,256,0.08995379529807632,0,COMPLETE
5,5,0.7559776637289259,0.2402167441774431,2026-02-24 13:23:13.789999,2026-02-24 13:39:33.501324,0 days 00:16:19.711325,16,0.00029814710323488924,512,0.0826705115702267,0,COMPLETE
6,6,1.5880274772644043,0.0,2026-02-24 13:39:33.502922,2026-02-24 13:55:33.907824,0 days 00:16:00.404902,32,5.995750697841795e-05,256,0.07253388343025861,0,COMPLETE
7,7,0.7141397332443911,0.25701436748183226,2026-02-24 13:55:33.909580,2026-02-24 14:06:29.950622,0 days 00:10:56.041042,8,0.0003019759754118881,256,0.09093284386910166,0,COMPLETE
8,8,0.7256210376234615,0.2629844493844048,2026-02-24 14:06:29.952480,2026-02-24 14:23:07.385170,0 days 00:16:37.432690,8,0.00024366236810462327,512,0.07343704251910169,0,COMPLETE
9,9,1.5209235191345214,0.0,2026-02-24 14:23:07.386855,2026-02-24 14:35:52.110975,0 days 00:12:44.724120,32,0.00028005600850700266,256,0.015308361376299984,0,COMPLETE
10,10,1.0991527239481609,0.056037124536970094,2026-02-24 14:35:52.112443,2026-02-24 14:52:14.796263,0 days 00:16:22.683820,16,0.00010265762100482898,512,0.08246940246708899,0,COMPLETE
11,11,0.863592621158151,0.13916174458891897,2026-02-24 14:52:14.797931,2026-02-24 15:09:31.184229,0 days 00:17:16.386298,8,7.040183339870995e-05,256,0.07699178791711202,0,COMPLETE
12,12,1.531075358390808,0.0,2026-02-24 15:09:31.186157,2026-02-24 15:25:31.839674,0 days 00:16:00.653517,32,0.00011177474113430654,512,0.01643589432905279,0,COMPLETE
13,13,0.9469010565016005,0.08759151893888799,2026-02-24 15:25:31.841090,2026-02-24 15:41:50.923256,0 days 00:16:19.082166,16,0.0002444825646120644,512,0.03882216444643969,0,COMPLETE
14,14,1.5001433955298529,0.0,2026-02-24 15:41:50.924604,2026-02-24 15:47:52.132087,0 days 00:06:01.207483,16,0.0003747523663660678,256,0.0945154469562687,0,COMPLETE
15,15,0.8133995182373944,0.18199556496623254,2026-02-24 15:47:52.133553,2026-02-24 16:05:11.372238,0 days 00:17:19.238685,8,8.402294694888492e-05,512,0.03772502498697805,0,COMPLETE
16,16,1.5354763746261597,0.0,2026-02-24 16:05:11.375727,2026-02-24 16:21:12.419467,0 days 00:16:01.043740,32,0.00010276013370471197,256,0.020069322812957424,0,COMPLETE
17,17,1.5207123279571533,0.0,2026-02-24 16:21:12.420887,2026-02-24 16:31:19.141942,0 days 00:10:06.721055,32,0.000309639927171141,256,0.05913960897536727,0,COMPLETE
18,18,1.4721716907289293,0.0,2026-02-24 16:31:19.143468,2026-02-24 16:47:41.500372,0 days 00:16:22.356904,16,7.131980452661887e-05,512,0.09618374104780743,0,COMPLETE
19,19,1.5195663928985597,0.0,2026-02-24 16:47:41.501923,2026-02-24 16:59:23.514300,0 days 00:11:42.012377,32,0.00038900504502302095,256,0.023842414121292135,0,COMPLETE
20,20,0.8675366008982939,0.13450013165194838,2026-02-24 16:59:23.515899,2026-02-24 17:16:40.373568,0 days 00:17:16.857669,8,6.661375666285536e-05,512,0.008180970425773482,0,COMPLETE
21,21,0.7070659644463483,0.27447624396008563,2026-02-24 17:16:40.375162,2026-02-24 17:33:52.924740,0 days 00:17:12.549578,8,0.00018349103171279004,256,0.03870522082136139,0,COMPLETE
22,22,1.0383819376721102,0.05595673581025519,2026-02-24 17:33:52.926338,2026-02-24 17:51:10.174900,0 days 00:17:17.248562,8,5.308080681762187e-05,256,0.05952855332638435,0,COMPLETE
23,23,1.4973420169618394,0.0,2026-02-24 17:51:10.176523,2026-02-24 17:57:11.209092,0 days 00:06:01.032569,16,0.0004880652193151067,256,0.0045555090700578615,0,COMPLETE
24,24,1.551181697845459,0.0,2026-02-24 17:57:11.210658,2026-02-24 18:13:11.388591,0 days 00:16:00.177933,32,7.77549740553488e-05,512,0.06123483250918093,0,COMPLETE
25,25,1.1262934936417475,0.03957843571828837,2026-02-24 18:13:11.390030,2026-02-24 18:29:33.698878,0 days 00:16:22.308848,16,0.00011294195310443153,256,0.07190483651102389,0,COMPLETE
26,26,0.9403079946835836,0.1332969858421465,2026-02-24 18:29:33.700582,2026-02-24 18:45:52.841586,0 days 00:16:19.141004,16,0.00023330171008489772,256,0.0459423359208771,0,COMPLETE
27,27,0.7614608407020569,0.26306465379896377,2026-02-24 18:45:52.842972,2026-02-24 19:01:48.300954,0 days 00:15:55.457982,32,0.0008230302646571505,256,0.04172841098331579,0,COMPLETE
28,28,0.9026790724860297,0.13684607297479554,2026-02-24 19:01:48.302405,2026-02-24 19:18:11.331420,0 days 00:16:23.029015,16,0.0001683599959558407,512,0.09950107400068936,0,COMPLETE
29,29,0.6896100798073936,0.29909417217196677,2026-02-24 19:18:11.333174,2026-02-24 19:33:39.162192,0 days 00:15:27.829018,8,0.00036469617453504394,512,0.0819080731905818,0,COMPLETE
30,30,0.7003143061609829,0.26705989303892563,2026-02-24 19:33:39.163793,2026-02-24 19:46:15.463698,0 days 00:12:36.299905,8,0.00027233327329088784,256,0.025636119980225792,0,COMPLETE
31,31,1.4835463894738092,0.0,2026-02-24 19:46:15.465171,2026-02-24 20:02:37.060047,0 days 00:16:21.594876,16,6.343081701335578e-05,256,0.03359492697643487,0,COMPLETE
32,32,0.7172815071211921,0.2617630541568638,2026-02-24 20:02:37.061467,2026-02-24 20:15:09.409947,0 days 00:12:32.348480,16,0.0005417039081742624,512,0.0005913568467306729,0,COMPLETE
33,33,1.5211215019226074,0.0,2026-02-24 20:15:09.411522,2026-02-24 20:21:03.760112,0 days 00:05:54.348590,32,0.0008125788571831049,512,0.07352621761581149,0,COMPLETE
34,34,0.720493891659905,0.27741451751859336,2026-02-24 20:21:03.761790,2026-02-24 20:33:40.548014,0 days 00:12:36.786224,8,0.0002983231312995019,512,0.043153791378149946,0,COMPLETE
35,35,0.8193403727868024,0.16814333615842594,2026-02-24 20:33:40.549728,2026-02-24 20:50:56.925389,0 days 00:17:16.375661,8,8.495835285628578e-05,256,0.031910779318059745,0,COMPLETE
36,36,0.735993891954422,0.26540636815671903,2026-02-24 20:50:56.927616,2026-02-24 21:07:33.352735,0 days 00:16:36.425119,8,0.0002730539784093142,256,0.010061683980134108,0,COMPLETE
37,37,0.807161271572113,0.1933240196391045,2026-02-24 21:07:33.354245,2026-02-24 21:23:53.152185,0 days 00:16:19.797940,16,0.000244322413729505,512,0.005912795461092924,0,COMPLETE
38,38,0.849884283542633,0.1821584307927927,2026-02-24 21:23:53.153675,2026-02-24 21:39:52.298529,0 days 00:15:59.144854,32,0.0008466279907339627,256,0.05153918742286893,0,COMPLETE
39,39,0.8480832046932645,0.1705316550227817,2026-02-24 21:39:52.299966,2026-02-24 21:56:12.371504,0 days 00:16:20.071538,16,0.00020638159482146422,256,0.038450841218864974,0,COMPLETE
40,40,0.7343030439482795,0.24343099190987114,2026-02-24 21:56:12.372940,2026-02-24 22:08:42.539974,0 days 00:12:30.167034,16,0.00042898142678786063,512,0.03395150695754206,0,COMPLETE
41,41,1.5188121557235719,0.0,2026-02-24 22:08:42.541529,2026-02-24 22:24:38.973233,0 days 00:15:56.431704,32,0.00019820149163027567,512,0.04425645174919274,0,COMPLETE
42,42,1.6238826990127564,0.0,2026-02-24 22:24:38.974887,2026-02-24 22:40:37.622609,0 days 00:15:58.647722,32,5.226317083039981e-05,256,0.005358388876178866,0,COMPLETE
43,43,1.1228040986590915,0.050463375054388124,2026-02-24 22:40:37.623954,2026-02-24 22:56:59.093459,0 days 00:16:21.469505,16,0.00014434432641954046,512,0.05809758268747085,0,COMPLETE
44,44,0.7199685170369989,0.22976277715402255,2026-02-24 22:56:59.095075,2026-02-24 23:05:02.894006,0 days 00:08:03.798931,8,0.0006968626085661893,512,0.014430917474612281,0,COMPLETE
45,45,1.4828084286521463,0.0,2026-02-24 23:05:02.896131,2026-02-24 23:08:32.552952,0 days 00:03:29.656821,8,0.0004561821788667236,512,0.003163005502386529,0,COMPLETE
46,46,1.5210236310958862,0.0,2026-02-24 23:08:32.555087,2026-02-24 23:15:28.315222,0 days 00:06:55.760135,32,0.000467230946262071,256,0.041741505853603346,0,COMPLETE
47,47,0.7216701682876138,0.2745480518167702,2026-02-24 23:15:28.316538,2026-02-24 23:30:56.401973,0 days 00:15:28.085435,8,0.00024435820165732004,256,0.09594361933725754,0,COMPLETE
48,48,1.5071762535307143,0.0,2026-02-24 23:30:56.404856,2026-02-24 23:47:16.496771,0 days 00:16:20.091915,16,5.627160915508603e-05,256,0.0887440966430369,0,COMPLETE
49,49,0.6965531233478995,0.301904246642725,2026-02-24 23:47:16.498172,2026-02-24 23:57:01.551053,0 days 00:09:45.052881,8,0.0007447083909989285,256,0.02746179390861241,0,COMPLETE
