,number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_max_length,params_weight_decay,system_attrs_NSGAIISampler:generation,state
0,0,1.5163705825805665,0.0,2026-02-23 11:09:05.940601,2026-02-23 11:13:52.486454,0 days 00:04:46.545853,32,0.00047069705450157026,256,0.08064654090994229,0,COMPLETE
1,1,1.5240571260452271,0.0,2026-02-23 11:13:52.487575,2026-02-23 11:19:48.084587,0 days 00:05:55.597012,32,0.00022891890733325163,512,0.02209849184917604,0,COMPLETE
2,2,1.4937361864482654,0.0,2026-02-23 11:19:48.086202,2026-02-23 11:33:48.964891,0 days 00:14:00.878689,8,5.1298456535340696e-05,256,0.052479433420029746,0,COMPLETE
3,3,1.488800132975859,0.0,2026-02-23 11:33:48.966231,2026-02-23 11:43:21.628060,0 days 00:09:32.661829,8,0.00020703785656846777,512,0.05156818263228618,0,COMPLETE
4,4,1.5185728073120117,0.0,2026-02-23 11:43:21.629408,2026-02-23 12:01:29.337576,0 days 00:18:07.708168,16,6.906323180926616e-05,512,0.08910509327031876,0,COMPLETE
5,5,1.5140991343392267,0.0,2026-02-23 12:01:29.339959,2026-02-23 12:11:12.624726,0 days 00:09:43.284767,16,8.057452197535198e-05,512,0.08197805826940124,0,COMPLETE
6,6,1.495001782389248,0.0,2026-02-23 12:11:12.626312,2026-02-23 12:15:06.379438,0 days 00:03:53.753126,8,0.0005831167431235212,512,0.019744833462816705,0,COMPLETE
7,7,1.481080297161551,0.0,2026-02-23 12:15:06.380955,2026-02-23 12:25:18.142247,0 days 00:10:11.761292,8,0.0006468951014283089,512,0.030897804356947778,0,COMPLETE
8,8,1.0740588903427124,0.015510168787367095,2026-02-23 12:25:18.143685,2026-02-23 12:43:28.253965,0 days 00:18:10.110280,16,0.0004493401192394631,512,0.01448744496628831,0,COMPLETE
9,9,1.5111027823554144,0.0,2026-02-23 12:43:28.255724,2026-02-23 12:47:45.437088,0 days 00:04:17.181364,16,0.0002782605482399865,512,0.09930681864392428,0,COMPLETE
10,10,1.4870683726142435,0.0,2026-02-23 12:47:45.439628,2026-02-23 12:54:48.341076,0 days 00:07:02.901448,8,0.0006770632671133942,512,0.03342918126707291,0,COMPLETE
11,11,1.5104063987731933,0.0,2026-02-23 12:54:48.342736,2026-02-23 13:03:01.497774,0 days 00:08:13.155038,32,0.0008046458693412347,512,0.014517673582726265,0,COMPLETE
12,12,1.5150132709079318,0.0,2026-02-23 13:03:01.500384,2026-02-23 13:18:47.335978,0 days 00:15:45.835594,16,5.139910772919315e-05,512,0.030617653000090783,0,COMPLETE
13,13,1.514608383178711,0.0,2026-02-23 13:18:47.337591,2026-02-23 13:25:57.540140,0 days 00:07:10.202549,32,0.00021222054423190772,256,0.05421120106075808,0,COMPLETE
14,14,1.504233890109592,0.0,2026-02-23 13:25:57.541462,2026-02-23 13:35:00.756014,0 days 00:09:03.214552,16,0.0007374652830255382,256,0.040439487052643566,0,COMPLETE
15,15,1.5171337525049846,0.0,2026-02-23 13:35:00.756295,2026-02-23 13:42:17.380535,0 days 00:07:16.624240,16,0.00023092193539034995,512,0.09497766949188205,0,COMPLETE
