,number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_max_length,params_weight_decay,system_attrs_NSGAIISampler:generation,state
0,0,0.9458129405975342,0.11483751862774333,2026-02-23 19:25:22.040086,2026-02-23 19:45:55.745768,0 days 00:20:33.705682,32,0.00043818443519931023,512,0.08430295638697931,0,COMPLETE
1,1,0.7367278516292572,0.24645939002576178,2026-02-23 19:45:55.747729,2026-02-23 20:06:55.976805,0 days 00:21:00.229076,16,0.00040673476551489324,512,0.06033758430542553,0,COMPLETE
2,2,1.272675633430481,0.0,2026-02-23 20:06:55.978965,2026-02-23 20:27:26.850097,0 days 00:20:30.871132,32,0.0003399269321547274,256,0.02946060964898194,0,COMPLETE
3,3,0.7435027718544006,0.21438719213249804,2026-02-23 20:27:26.852861,2026-02-23 20:47:53.452499,0 days 00:20:26.599638,32,0.0008619264438214289,256,0.09418258260680784,0,COMPLETE
4,4,0.6471482515335083,0.3077399305108479,2026-02-23 20:47:53.454820,2026-02-23 21:00:25.342017,0 days 00:12:31.887197,8,0.0008951918237164135,512,0.05040203023362949,0,COMPLETE
5,5,0.6580328533523961,0.2905474412893696,2026-02-23 21:00:25.345100,2026-02-23 21:14:31.853046,0 days 00:14:06.507946,8,0.0004100210253474778,256,0.03668502134201286,0,COMPLETE
6,6,1.1229185700416564,0.03377940207050362,2026-02-23 21:14:31.855518,2026-02-23 21:35:05.445120,0 days 00:20:33.589602,32,0.00039478084060753227,256,0.0005140463279491803,0,COMPLETE
7,7,1.0943715810775756,0.041582927563416014,2026-02-23 21:35:05.447309,2026-02-23 21:55:38.514164,0 days 00:20:33.066855,32,0.0003378985276467351,512,0.07542895395865118,0,COMPLETE
8,8,1.062214457988739,0.03723578296843658,2026-02-23 21:55:38.516191,2026-02-23 22:16:09.544249,0 days 00:20:31.028058,32,0.000431450970069418,256,0.0468135890338727,0,COMPLETE
9,9,1.4112303733825684,0.0,2026-02-23 22:16:09.546467,2026-02-23 22:36:43.555004,0 days 00:20:34.008537,32,0.00014102597496047092,256,0.08362190499076688,0,COMPLETE
10,10,0.8385553896427155,0.1906385221422727,2026-02-23 22:36:43.557258,2026-02-23 22:57:50.192102,0 days 00:21:06.634844,16,0.00031493787329181456,256,0.05810866695760913,0,COMPLETE
11,11,0.6972628047591761,0.2916732489673493,2026-02-23 22:57:50.194662,2026-02-23 23:17:47.809194,0 days 00:19:57.614532,8,0.0002930906004085876,512,0.05872141136087358,0,COMPLETE
12,12,0.8663799480388039,0.1587660988494313,2026-02-23 23:17:47.812434,2026-02-23 23:40:15.649765,0 days 00:22:27.837331,8,0.00010101783011087243,256,0.059163649097777396,0,COMPLETE
13,13,0.8363994359970093,0.20161519751228768,2026-02-23 23:40:15.651956,2026-02-24 00:01:22.620811,0 days 00:21:06.968855,16,0.0002581267058253488,256,0.09628436269325007,0,COMPLETE
14,14,1.0986297845840454,0.05406284703796252,2026-02-24 00:01:22.623097,2026-02-24 00:21:56.364939,0 days 00:20:33.741842,32,0.00032674915957998837,256,0.02575799716446522,0,COMPLETE
15,15,1.3944087624549866,0.0,2026-02-24 00:21:56.371386,2026-02-24 00:43:08.039384,0 days 00:21:11.667998,16,0.00010875760678225106,512,0.00026763067266832863,0,COMPLETE
16,16,0.6817053964263514,0.29417615652656176,2026-02-24 00:43:08.045600,2026-02-24 01:03:49.373837,0 days 00:20:41.328237,8,0.00023552865236372447,256,0.05603641420004083,0,COMPLETE
17,17,0.9685049533843995,0.10233911282552131,2026-02-24 01:03:49.380710,2026-02-24 01:24:21.034992,0 days 00:20:31.654282,32,0.00043802184264484173,256,0.06383733938600346,0,COMPLETE
18,18,0.6771423848051774,0.25943564269192976,2026-02-24 01:24:21.041920,2026-02-24 01:41:28.016587,0 days 00:17:06.974667,8,0.00023960075607379588,512,0.028452351768471953,0,COMPLETE
19,19,0.6781432409035532,0.3111226161955611,2026-02-24 01:41:28.022249,2026-02-24 02:01:22.523845,0 days 00:19:54.501596,8,0.0003097753021661089,512,0.07392119671245558,0,COMPLETE
20,20,0.8322892010211944,0.2125159820192187,2026-02-24 02:01:22.530965,2026-02-24 02:22:23.524818,0 days 00:21:00.993853,16,0.00032108754429454873,512,0.090852419008388,0,COMPLETE
21,21,0.6873445600271225,0.29868512797229846,2026-02-24 02:22:23.527350,2026-02-24 02:41:56.121479,0 days 00:19:32.594129,16,0.0008154399536384419,512,0.03601082170037985,0,COMPLETE
22,22,1.4898337364196776,0.0,2026-02-24 02:41:56.123665,2026-02-24 03:02:31.377843,0 days 00:20:35.254178,32,5.035423107355611e-05,512,0.07327569796177368,0,COMPLETE
23,23,1.0967942953109742,0.04820856015096951,2026-02-24 03:02:31.382467,2026-02-24 03:23:07.998241,0 days 00:20:36.615774,32,0.0004874534751766152,512,0.044906004813537216,0,COMPLETE
24,24,1.4118312478065491,0.0,2026-02-24 03:23:08.001468,2026-02-24 03:44:23.028208,0 days 00:21:15.026740,16,8.059136368440182e-05,512,0.08655186249148823,0,COMPLETE
25,25,0.6864409565925598,0.26263438688995483,2026-02-24 03:44:23.030828,2026-02-24 04:04:44.244446,0 days 00:20:21.213618,16,0.0005386498763519576,512,0.012252649275134121,0,COMPLETE
26,26,1.4651341080665587,0.0,2026-02-24 04:04:44.247320,2026-02-24 04:25:57.959823,0 days 00:21:13.712503,16,7.545238861301126e-05,256,0.011679788307632312,0,COMPLETE
27,27,1.4189621448516845,0.0,2026-02-24 04:25:57.962944,2026-02-24 04:46:32.387980,0 days 00:20:34.425036,32,0.00012776136740233403,256,0.07679976902102072,0,COMPLETE
28,28,1.4757216691970825,0.0,2026-02-24 04:46:32.393640,2026-02-24 05:07:08.456731,0 days 00:20:36.063091,32,7.79722311661015e-05,512,0.08425857765556136,0,COMPLETE
29,29,0.8665594935417176,0.145973821735093,2026-02-24 05:07:08.459302,2026-02-24 05:28:23.086140,0 days 00:21:14.626838,16,0.0002084560006435534,256,0.05403542750307436,0,COMPLETE
30,30,0.661929870906629,0.2842502232354754,2026-02-24 05:28:23.087989,2026-02-24 05:41:40.803280,0 days 00:13:17.715291,8,0.00042326469411526404,512,0.0432890032367548,0,COMPLETE
31,31,0.8607316255569458,0.16750487964248859,2026-02-24 05:41:40.806524,2026-02-24 06:02:53.059892,0 days 00:21:12.253368,16,0.00019233045775068552,256,0.05337864412873297,0,COMPLETE
32,32,1.4401978731155396,0.0,2026-02-24 06:02:53.066576,2026-02-24 06:23:28.805980,0 days 00:20:35.739404,32,0.00010422016820109055,256,0.09745718168262313,0,COMPLETE
33,33,0.8271882653236389,0.18752990345973983,2026-02-24 06:23:28.812608,2026-02-24 06:44:08.167584,0 days 00:20:39.354976,32,0.0005330079710920403,256,0.024303866937018706,0,COMPLETE
34,34,0.6802041373754802,0.3018428316499495,2026-02-24 06:44:08.172516,2026-02-24 06:59:42.232777,0 days 00:15:34.060261,8,0.0006666537692230294,512,0.07906239218666963,0,COMPLETE
35,35,0.720413601398468,0.22728253558530864,2026-02-24 06:59:42.235539,2026-02-24 07:20:08.771596,0 days 00:20:26.536057,32,0.0008197806478015927,512,0.01682156539426909,0,COMPLETE
36,36,0.806758177280426,0.19425360680683937,2026-02-24 07:20:08.774571,2026-02-24 07:40:40.113325,0 days 00:20:31.338754,32,0.0006001922814439201,512,0.08223321860829755,0,COMPLETE
37,37,1.4735968112945557,0.0,2026-02-24 07:40:40.116172,2026-02-24 08:01:20.095481,0 days 00:20:39.979309,32,6.904532441748798e-05,256,0.06406076559158763,0,COMPLETE
38,38,0.7090376442984531,0.23835758441225138,2026-02-24 08:01:20.100118,2026-02-24 08:23:48.595313,0 days 00:22:28.495195,8,0.00014311375361652397,256,0.05013700232474192,0,COMPLETE
39,39,1.456215238571167,0.0,2026-02-24 08:23:48.600338,2026-02-24 08:44:23.109581,0 days 00:20:34.509243,32,9.634478315224254e-05,512,0.09755855388352869,0,COMPLETE
40,40,0.9259878695011139,0.12048407956928511,2026-02-24 08:44:23.112140,2026-02-24 09:05:38.223157,0 days 00:21:15.111017,16,0.0001878958143657779,256,0.013417434158965402,0,COMPLETE
41,41,1.4779569387435914,0.0,2026-02-24 09:05:38.225875,2026-02-24 09:26:15.610987,0 days 00:20:37.385112,32,6.19606986576233e-05,256,0.025994215432522186,0,COMPLETE
42,42,1.0111261010169983,0.03385048103873986,2026-02-24 09:26:15.613532,2026-02-24 09:46:51.251299,0 days 00:20:35.637767,32,0.00032379609420723387,512,0.04557763814277042,0,COMPLETE
43,43,0.6524727171973178,0.29223112807915147,2026-02-24 09:46:51.254215,2026-02-24 10:06:52.790848,0 days 00:20:01.536633,8,0.00031084555757812443,256,0.02511048271857629,0,COMPLETE
44,44,0.7531047463417053,0.26714762238587136,2026-02-24 10:06:52.795015,2026-02-24 10:27:54.934411,0 days 00:21:02.139396,16,0.0008039535330029788,512,0.03106771426184204,0,COMPLETE
45,45,0.6786660897104364,0.27177350713190684,2026-02-24 10:27:54.938662,2026-02-24 10:44:58.763437,0 days 00:17:03.824775,8,0.00028955341678774306,512,0.0953797310389182,0,COMPLETE
46,46,1.2415916323661804,0.04053948412907883,2026-02-24 10:44:58.765677,2026-02-24 11:06:18.887889,0 days 00:21:20.122212,16,0.0001638173174714835,256,0.006823637773140412,0,COMPLETE
47,47,0.9644045889377594,0.1265330469487213,2026-02-24 11:06:18.890221,2026-02-24 11:27:33.598179,0 days 00:21:14.707958,16,0.00018654962664037166,256,0.07902133684270096,0,COMPLETE
48,48,0.787019597856622,0.18986404286486894,2026-02-24 11:27:33.602466,2026-02-24 11:50:01.062415,0 days 00:22:27.459949,8,0.00010496204297471802,512,0.09928167059742543,0,COMPLETE
49,49,0.9830382287502288,0.10840703021461932,2026-02-24 11:50:01.064982,2026-02-24 12:11:16.700608,0 days 00:21:15.635626,16,0.00018906957419788172,512,0.007935587387167153,0,COMPLETE
