,number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_max_length,params_weight_decay,system_attrs_NSGAIISampler:generation,state
0,0,1.0877668062845867,0.07167070217917676,2026-03-01 12:25:57.784674,2026-03-01 12:33:34.414388,0 days 00:07:36.629714,16,3.0059428913353068e-05,512,0.04539905548370619,0,COMPLETE
1,1,0.9539986287846285,0.15361558636193332,2026-03-01 12:33:34.414889,2026-03-01 12:40:59.695182,0 days 00:07:25.280293,8,1.753981928434001e-05,256,0.07587490571315951,0,COMPLETE
2,2,1.110376908498652,0.04874746106973595,2026-03-01 12:40:59.696067,2026-03-01 12:48:24.706841,0 days 00:07:25.010774,8,1.3435993888869858e-05,512,0.05137681974468841,0,COMPLETE
3,3,0.560266625881195,0.40754039497307004,2026-03-01 12:48:24.707682,2026-03-01 12:52:36.833139,0 days 00:04:12.125457,32,0.0007897322842230316,256,0.0866812996332805,0,COMPLETE
4,4,0.9342620968818665,0.16145229818462725,2026-03-01 12:52:36.834054,2026-03-01 13:00:12.570694,0 days 00:07:35.736640,16,3.684177866484775e-05,256,0.06757415493080476,0,COMPLETE
5,5,0.5986179779557621,0.3474076373796957,2026-03-01 13:00:12.571703,2026-03-01 13:07:35.161150,0 days 00:07:22.589447,8,5.580469709955826e-05,512,0.060609233776323594,0,COMPLETE
6,6,0.5803316593170166,0.3993966817496229,2026-03-01 13:07:35.162089,2026-03-01 13:13:52.961891,0 days 00:06:17.799802,32,0.0008153755099846693,256,0.09867114924451192,0,COMPLETE
7,7,0.5672316120730506,0.3836120914531226,2026-03-01 13:13:52.962844,2026-03-01 13:16:39.569485,0 days 00:02:46.606641,16,0.0008724449472591036,512,0.043267055910830625,0,COMPLETE
8,8,0.6519606779603397,0.2867012089810017,2026-03-01 13:16:39.570562,2026-03-01 13:24:05.707308,0 days 00:07:26.136746,8,3.8493879390018804e-05,512,0.055383772345084264,0,COMPLETE
9,9,0.5740585294034746,0.3808517064331018,2026-03-01 13:24:05.708339,2026-03-01 13:29:08.496394,0 days 00:05:02.788055,16,0.00026366385383610195,512,0.012694554679996495,0,COMPLETE
10,10,0.6778916358947754,0.26644025933930227,2026-03-01 13:29:08.497416,2026-03-01 13:37:02.651969,0 days 00:07:54.154553,32,0.00013328654967787704,256,0.025122024581222424,0,COMPLETE
11,11,0.5494234553154778,0.4492605066627618,2026-03-01 13:37:02.653062,2026-03-01 13:40:14.939336,0 days 00:03:12.286274,8,0.0005758498993222804,512,0.06565877691493906,0,COMPLETE
12,12,1.3006064891815186,0.0,2026-03-01 13:40:14.940377,2026-03-01 13:47:49.198747,0 days 00:07:34.258370,16,1.0127177471931156e-05,512,0.05559656279708772,0,COMPLETE
13,13,1.00157910936019,0.13238662391204764,2026-03-01 13:47:49.199796,2026-03-01 13:55:14.470110,0 days 00:07:25.270314,8,1.4089396308038793e-05,256,0.07079333529978075,0,COMPLETE
14,14,0.5593993127346039,0.41968911917098445,2026-03-01 13:55:14.471181,2026-03-01 14:01:46.850683,0 days 00:06:32.379502,32,0.0004644826664226465,256,0.05606303646797505,0,COMPLETE
15,15,0.9056753251287673,0.15569297926518733,2026-03-01 14:01:46.851805,2026-03-01 14:09:35.848463,0 days 00:07:48.996658,16,3.497184837547424e-05,256,0.06948604676344304,0,COMPLETE
16,16,0.9705337952165043,0.11996105160662122,2026-03-01 14:09:35.849476,2026-03-01 14:17:01.517473,0 days 00:07:25.667997,8,1.4489973143426222e-05,512,0.0716918823052115,0,COMPLETE
17,17,0.5698663055896759,0.38739255014326646,2026-03-01 14:17:01.518575,2026-03-01 14:24:06.121912,0 days 00:07:04.603337,32,0.0007306760008633508,512,0.004621362823289799,0,COMPLETE
18,18,0.7140791151258681,0.25591971146307047,2026-03-01 14:24:06.123124,2026-03-01 14:31:41.219280,0 days 00:07:35.096156,16,5.7067845104444095e-05,512,0.0352808233539556,0,COMPLETE
19,19,0.6230073273181915,0.3339317773788151,2026-03-01 14:31:41.220485,2026-03-01 14:39:34.522663,0 days 00:07:53.302178,32,0.00020024761428615061,256,0.021072113180569087,0,COMPLETE
20,20,0.5562893432729384,0.43198557041935964,2026-03-01 14:39:34.523740,2026-03-01 14:44:59.422843,0 days 00:05:24.899103,8,0.00019612560652133802,512,0.07508750279369407,0,COMPLETE
21,21,0.612015038728714,0.360593713620489,2026-03-01 14:44:59.424069,2026-03-01 14:52:33.704208,0 days 00:07:34.280139,16,0.00018094569827080116,256,0.09804225920417929,0,COMPLETE
22,22,1.07813427845637,0.10303030303030301,2026-03-01 14:52:33.705405,2026-03-01 15:00:08.741479,0 days 00:07:35.036074,16,2.2695983146586977e-05,256,0.09508098518784243,0,COMPLETE
23,23,0.5749448670281304,0.37728380024360536,2026-03-01 15:00:08.742713,2026-03-01 15:03:55.926460,0 days 00:03:47.183747,16,0.0002944925709178312,512,0.008451526882840643,0,COMPLETE
24,24,1.3685530213748707,0.0,2026-03-01 15:03:55.927757,2026-03-01 15:06:09.654380,0 days 00:02:13.726623,8,0.0007136587848674156,512,0.023908561496796345,0,COMPLETE
25,25,0.686739947865991,0.25967766229853895,2026-03-01 15:06:09.655396,2026-03-01 15:13:35.050493,0 days 00:07:25.395097,8,3.704839121348706e-05,512,0.09291412196637243,0,COMPLETE
26,26,0.6013815788661733,0.35568164849932804,2026-03-01 15:13:35.051763,2026-03-01 15:20:59.551440,0 days 00:07:24.499677,8,7.011209160558409e-05,512,0.02934988790089459,0,COMPLETE
27,27,0.5758390261067284,0.40118343195266276,2026-03-01 15:20:59.552641,2026-03-01 15:26:46.881156,0 days 00:05:47.328515,16,0.00023708965203145206,256,0.03951046170709463,0,COMPLETE
28,28,0.5538740946966059,0.4188385916780979,2026-03-01 15:26:46.882378,2026-03-01 15:29:45.660317,0 days 00:02:58.777939,8,0.0003434791338520345,512,0.035114116400396043,0,COMPLETE
29,29,0.7075360947185092,0.27223065250379364,2026-03-01 15:29:45.661559,2026-03-01 15:37:20.000426,0 days 00:07:34.338867,16,6.055056997606751e-05,512,0.06826784847022065,0,COMPLETE
30,30,0.547368718420758,0.4463457076566126,2026-03-01 15:37:20.001768,2026-03-01 15:40:47.617062,0 days 00:03:27.615294,8,0.0005142086593730406,512,0.02454435829429128,0,COMPLETE
31,31,1.3102209700478449,0.0,2026-03-01 15:40:47.618403,2026-03-01 15:48:23.485665,0 days 00:07:35.867262,16,1.083652479320246e-05,512,0.018490492889984944,0,COMPLETE
32,32,0.6620532989501953,0.3062230437461491,2026-03-01 15:48:23.486959,2026-03-01 15:56:17.533270,0 days 00:07:54.046311,32,0.00016005452714702438,256,0.09207221688721545,0,COMPLETE
33,33,0.6768057942390442,0.2910559377804367,2026-03-01 15:56:17.534627,2026-03-01 16:04:18.510153,0 days 00:08:00.975526,32,0.000189433178530333,512,0.0012073572364206032,0,COMPLETE
34,34,0.5530175467332205,0.4324567993989482,2026-03-01 16:04:18.511364,2026-03-01 16:08:35.794934,0 days 00:04:17.283570,16,0.0006553894738403978,512,0.07927081958556742,0,COMPLETE
35,35,0.6099410600521985,0.33369380503630464,2026-03-01 16:08:35.796227,2026-03-01 16:15:29.937757,0 days 00:06:54.141530,8,5.7693401714434874e-05,256,0.04048064940585899,0,COMPLETE
36,36,1.0777357339859008,0.10428541270846527,2026-03-01 16:15:29.939167,2026-03-01 16:23:24.184154,0 days 00:07:54.244987,32,6.560515672502383e-05,512,0.022354247527076224,0,COMPLETE
37,37,0.9037880778312684,0.17794352690463505,2026-03-01 16:23:24.185504,2026-03-01 16:31:18.464226,0 days 00:07:54.278722,32,7.279680394270623e-05,256,0.0046421360383262725,0,COMPLETE
38,38,0.7698126435279846,0.20945945945945943,2026-03-01 16:31:18.465610,2026-03-01 16:39:12.869559,0 days 00:07:54.403949,32,0.00010834189484534841,512,0.07645412627924515,0,COMPLETE
39,39,1.0561464296446905,0.09283246977547495,2026-03-01 16:39:12.870689,2026-03-01 16:46:48.422964,0 days 00:07:35.552275,16,2.8529593244230166e-05,512,0.09935870868997361,0,COMPLETE
40,40,0.9607798527268803,0.14768861316790075,2026-03-01 16:46:48.424369,2026-03-01 16:54:13.437800,0 days 00:07:25.013431,8,1.5434101080956795e-05,256,0.028869128280976864,0,COMPLETE
41,41,0.5729585945606231,0.40054086538461536,2026-03-01 16:54:13.439183,2026-03-01 17:00:15.955942,0 days 00:06:02.516759,32,0.00046397309397800605,256,0.06782347688801112,0,COMPLETE
