,number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_max_length,params_weight_decay,system_attrs_NSGAIISampler:generation,state
0,0,0.6829545435152555,0.29135574978806855,2026-02-21 19:40:59.807229,2026-02-21 19:46:35.032134,0 days 00:05:35.224905,8,0.0002500172432357153,512,0.09230706180521409,0,COMPLETE
1,1,1.5299036264419557,0.0,2026-02-21 19:46:35.033570,2026-02-21 19:52:47.446533,0 days 00:06:12.412963,16,2.5720434713965374e-05,512,0.059992891660618324,0,COMPLETE
2,2,1.607703497535304,0.0,2026-02-21 19:52:47.448220,2026-02-21 19:58:57.482037,0 days 00:06:10.033817,8,6.772599937853494e-06,512,0.06418358720777353,0,COMPLETE
3,3,12.166015434265137,0.0,2026-02-21 19:58:57.483699,2026-02-21 20:05:27.763591,0 days 00:06:30.279892,32,4.059967049014355e-06,512,0.00627079498087938,0,COMPLETE
4,4,0.853904765844345,0.1756825996151968,2026-02-21 20:05:27.765360,2026-02-21 20:11:39.083992,0 days 00:06:11.318632,16,0.00023152479606967704,256,0.06253677137774973,0,COMPLETE
5,5,1.8105806231498718,0.0,2026-02-21 20:11:39.085810,2026-02-21 20:17:52.599224,0 days 00:06:13.513414,16,9.279798769813524e-06,256,0.08874635371996037,0,COMPLETE
6,6,1.5624593935514752,0.0,2026-02-21 20:17:52.600794,2026-02-21 20:24:02.528794,0 days 00:06:09.928000,8,7.848083327315381e-06,512,0.07947654025068603,0,COMPLETE
7,7,38.79753494262695,0.0008824533289211191,2026-02-21 20:24:02.530252,2026-02-21 20:30:38.644922,0 days 00:06:36.114670,32,1.6713862394005963e-06,512,0.04058203205998293,0,COMPLETE
8,8,0.7499509692192078,0.20735023633774521,2026-02-21 20:30:38.646777,2026-02-21 20:36:59.004422,0 days 00:06:20.357645,32,0.0008167218481103847,256,0.008324827825648107,0,COMPLETE
9,9,0.659900680968636,0.3065901440194006,2026-02-21 20:36:59.005818,2026-02-21 20:41:36.438587,0 days 00:04:37.432769,8,0.0003615551280446036,256,0.044061853026284986,0,COMPLETE
10,10,1.202560019493103,0.0005300632911392404,2026-02-21 20:41:36.440122,2026-02-21 20:47:58.724992,0 days 00:06:22.284870,32,0.00026073584557735055,512,0.048160152785749526,0,COMPLETE
11,11,1.5189643979072571,0.0,2026-02-21 20:47:58.726578,2026-02-21 20:54:08.536831,0 days 00:06:09.810253,16,3.7433416180655014e-05,256,0.031160192139626078,0,COMPLETE
12,12,7.847803020477295,0.0,2026-02-21 20:54:08.537298,2026-02-21 21:00:34.127485,0 days 00:06:25.590187,32,5.021213610200163e-06,256,0.0535539108441134,0,COMPLETE
13,13,3.1955939054489138,0.0,2026-02-21 21:00:34.129259,2026-02-21 21:06:48.640344,0 days 00:06:14.511085,16,4.404806988938976e-06,512,0.03047370740195833,0,COMPLETE
14,14,1.5292907118797303,0.0,2026-02-21 21:06:48.641166,2026-02-21 21:13:01.244308,0 days 00:06:12.603142,16,2.6372666383977612e-05,256,0.07082925734074312,0,COMPLETE
15,15,1.489851713180542,0.0,2026-02-21 21:13:01.246044,2026-02-21 21:19:23.724713,0 days 00:06:22.478669,32,5.054917204193044e-05,512,0.09137045965444447,0,COMPLETE
16,16,14.443003273010254,0.0008903081810372833,2026-02-21 21:19:23.725445,2026-02-21 21:25:55.555250,0 days 00:06:31.829805,32,3.494930744714688e-06,256,0.02374473463701501,0,COMPLETE
17,17,1.0978163957595826,0.06085593097575137,2026-02-21 21:25:55.556950,2026-02-21 21:32:16.609186,0 days 00:06:21.052236,32,0.00048315622494602285,512,0.03731572403688215,0,COMPLETE
18,18,1.4235548377037048,0.0,2026-02-21 21:32:16.610745,2026-02-21 21:38:28.039056,0 days 00:06:11.428311,16,7.302988834200722e-05,256,0.08442493459141076,0,COMPLETE
19,19,1.494885790348053,0.0,2026-02-21 21:38:28.040599,2026-02-21 21:44:38.799802,0 days 00:06:10.759203,16,5.386763038766435e-05,256,0.06835576157511669,0,COMPLETE
20,20,0.8362158000469208,0.19652872415528905,2026-02-21 21:44:38.801514,2026-02-21 21:50:47.492526,0 days 00:06:08.691012,16,0.0002784332865538247,256,0.04406275313221391,0,COMPLETE
21,21,1.9283676837619983,0.0,2026-02-21 21:50:47.494362,2026-02-21 21:56:57.911562,0 days 00:06:10.417200,8,3.7766620441511142e-06,512,0.015418582393192139,0,COMPLETE
22,22,0.9712348894069069,0.06439403689584433,2026-02-21 21:56:57.913388,2026-02-21 22:03:07.339154,0 days 00:06:09.425766,8,6.616767518476226e-05,512,0.01384325415552642,0,COMPLETE
23,23,1.4580931425094605,0.0,2026-02-21 22:03:07.340835,2026-02-21 22:09:19.306423,0 days 00:06:11.965588,16,5.0977523472887206e-05,256,0.07212649241326076,0,COMPLETE
24,24,3.222641396522522,0.0,2026-02-21 22:09:19.308127,2026-02-21 22:15:33.517994,0 days 00:06:14.209867,16,4.2946682757035125e-06,256,0.002551936949837086,0,COMPLETE
25,25,0.7326648712158204,0.21682270793372527,2026-02-21 22:15:33.519790,2026-02-21 22:21:52.843020,0 days 00:06:19.323230,32,0.0008527026928905803,512,0.03858200116425731,0,COMPLETE
26,26,1.0659899241045903,0.015547593392554961,2026-02-21 22:21:52.844530,2026-02-21 22:28:01.824635,0 days 00:06:08.980105,8,5.756927813762976e-05,512,0.03798796241249938,0,COMPLETE
27,27,1.3535070419311523,0.0,2026-02-21 22:28:01.826207,2026-02-21 22:34:23.632017,0 days 00:06:21.805810,32,0.0002454063905677691,512,0.043103503802392286,0,COMPLETE
28,28,1.7989346504211425,0.0,2026-02-21 22:34:23.634424,2026-02-21 22:40:46.808397,0 days 00:06:23.173973,32,1.8508990240466255e-05,512,0.09004859021112958,0,COMPLETE
29,29,0.761466688231418,0.2146698677839404,2026-02-21 22:40:46.809179,2026-02-21 22:46:54.279626,0 days 00:06:07.470447,8,0.0001461657968404176,256,0.06209679115298842,0,COMPLETE
30,30,5.865301609039307,0.0,2026-02-21 22:46:54.281845,2026-02-21 22:53:21.377491,0 days 00:06:27.095646,32,6.126365237533713e-06,256,0.05835580469946087,0,COMPLETE
31,31,1.6341880321502686,0.0,2026-02-21 22:53:21.379038,2026-02-21 22:59:34.568202,0 days 00:06:13.189164,16,1.3002733239620065e-05,512,0.09573776636675983,0,COMPLETE
32,32,2.550328087806702,0.0,2026-02-21 22:59:34.569661,2026-02-21 23:05:49.928541,0 days 00:06:15.358880,16,5.6459074003039325e-06,512,0.07814797017057835,0,COMPLETE
33,33,10.895289370888158,0.0013908444736181794,2026-02-21 23:05:49.929927,2026-02-21 23:12:05.811263,0 days 00:06:15.881336,8,1.090908890681493e-06,512,0.04792596691915172,0,COMPLETE
