,number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_max_length,params_weight_decay,system_attrs_NSGAIISampler:generation,state
0,0,0.46052886107388663,0.5852281241734885,2026-02-25 14:59:00.102422,2026-02-25 15:02:19.087374,0 days 00:03:18.984952,8,0.0007065642160724503,512,0.05383414940791448,0,COMPLETE
1,1,0.46750587224960327,0.564214455175589,2026-02-25 15:02:19.090266,2026-02-25 15:08:25.358490,0 days 00:06:06.268224,32,0.000259070631912606,256,0.03851475568610929,0,COMPLETE
2,2,0.44899429994470935,0.585821999853789,2026-02-25 15:08:25.360116,2026-02-25 15:12:33.800269,0 days 00:04:08.440153,8,0.0005861482526323641,512,0.0006191471378601432,0,COMPLETE
3,3,0.44194275471899247,0.583575842319584,2026-02-25 15:12:33.801819,2026-02-25 15:16:28.527901,0 days 00:03:54.726082,16,0.000605647591499857,512,0.028799255227677803,0,COMPLETE
4,4,0.44244668764226575,0.5784309863236774,2026-02-25 15:16:28.529227,2026-02-25 15:19:47.895559,0 days 00:03:19.366332,8,0.0008407023907257912,512,0.022339220046676878,0,COMPLETE
5,5,0.46844311356544494,0.5875129191020602,2026-02-25 15:19:47.896993,2026-02-25 15:25:32.013357,0 days 00:05:44.116364,32,0.0003593264068843067,512,0.03130448798100798,0,COMPLETE
6,6,0.4429616454769583,0.5968471206418181,2026-02-25 15:25:32.014713,2026-02-25 15:28:51.080555,0 days 00:03:19.065842,8,0.000891062437820652,512,0.004275343305915558,0,COMPLETE
7,7,0.4777749955654144,0.5555301383129124,2026-02-25 15:28:51.082071,2026-02-25 15:38:45.127913,0 days 00:09:54.045842,32,0.00013337436827105654,512,0.019966091362258923,0,COMPLETE
8,8,0.5102044105529785,0.5087625587633675,2026-02-25 15:38:45.129380,2026-02-25 15:50:13.387539,0 days 00:11:28.258159,32,7.339990287290019e-05,512,0.0624692913443904,0,COMPLETE
9,9,0.4493068912450005,0.6002261826320384,2026-02-25 15:50:13.388923,2026-02-25 15:55:11.332354,0 days 00:04:57.943431,8,0.0002899747147534705,256,0.038899779612197385,0,COMPLETE
10,10,0.4769278824329376,0.552894572862806,2026-02-25 15:55:11.334034,2026-02-25 16:06:38.441129,0 days 00:11:27.107095,32,8.913191910765175e-05,256,0.01067087626489035,0,COMPLETE
11,11,0.45175806681315106,0.5688368171548706,2026-02-25 16:06:38.442603,2026-02-25 16:10:09.378260,0 days 00:03:30.935657,16,0.0005688077447276068,512,0.06814437477465368,0,COMPLETE
12,12,0.4414030366084155,0.6087428062346493,2026-02-25 16:10:09.379743,2026-02-25 16:14:42.842396,0 days 00:04:33.462653,8,0.0003580985551857817,512,0.07372317320944177,0,COMPLETE
13,13,0.4972101986408234,0.528858286300877,2026-02-25 16:14:42.844001,2026-02-25 16:26:11.065697,0 days 00:11:28.221696,32,6.939363296777356e-05,256,0.08393903534178004,0,COMPLETE
14,14,0.4509088204187505,0.5920425782369745,2026-02-25 16:26:11.067367,2026-02-25 16:32:09.872090,0 days 00:05:58.804723,8,0.00014711804700301773,256,0.09101175588927336,0,COMPLETE
15,15,0.45585254886571097,0.5993359515000687,2026-02-25 16:32:09.873483,2026-02-25 16:37:21.402562,0 days 00:05:11.529079,8,0.00021678423602109623,512,0.010960123538161004,0,COMPLETE
16,16,0.45159655984710245,0.6001171931470848,2026-02-25 16:37:21.403954,2026-02-25 16:42:42.625240,0 days 00:05:21.221286,8,0.00017084890416625817,256,0.025515399126426253,0,COMPLETE
17,17,0.45653867896865397,0.5790680244500801,2026-02-25 16:42:42.626599,2026-02-25 16:50:08.190202,0 days 00:07:25.563603,8,9.249521038198262e-05,512,0.0722840108711113,0,COMPLETE
18,18,0.45319512486457825,0.5920337179658275,2026-02-25 16:50:08.191796,2026-02-25 16:54:02.404048,0 days 00:03:54.212252,16,0.0007245433941835757,256,0.06596899641580765,0,COMPLETE
19,19,0.45685470435354447,0.5866239276909427,2026-02-25 16:54:02.405511,2026-02-25 17:00:16.101444,0 days 00:06:13.695933,16,0.00018648352402498742,512,0.06270286457938508,0,COMPLETE
20,20,0.46546008189519245,0.5654648725357789,2026-02-25 17:00:16.103012,2026-02-25 17:10:03.582130,0 days 00:09:47.479118,16,7.545149828919676e-05,512,0.07323164071633552,0,COMPLETE
21,21,0.4533018403583103,0.5794742107323367,2026-02-25 17:10:03.583903,2026-02-25 17:14:21.765486,0 days 00:04:18.181583,16,0.0006565868892131669,256,0.05194439067719552,0,COMPLETE
22,22,0.45219270271413464,0.589308093435561,2026-02-25 17:14:21.767010,2026-02-25 17:19:17.926940,0 days 00:04:56.159930,8,0.0002566735300967612,512,0.022471995721315585,0,COMPLETE
23,23,0.45165475852349224,0.6090242137427282,2026-02-25 17:19:17.928296,2026-02-25 17:23:49.588623,0 days 00:04:31.660327,8,0.00031876421078131935,256,0.022585280637641803,0,COMPLETE
24,24,0.4545036641990437,0.5695365315832852,2026-02-25 17:23:49.589928,2026-02-25 17:29:23.507603,0 days 00:05:33.917675,8,0.00012233217774738198,512,0.01387184333403223,0,COMPLETE
25,25,0.44568443473647623,0.5903965236794877,2026-02-25 17:29:23.508814,2026-02-25 17:32:42.224618,0 days 00:03:18.715804,8,0.0006920847234129552,256,0.028659394728994227,0,COMPLETE
26,26,0.4586801098452674,0.5807836371282049,2026-02-25 17:32:42.226274,2026-02-25 17:39:42.970425,0 days 00:07:00.744151,16,0.0001141562783791297,256,0.04772101464086941,0,COMPLETE
27,27,0.47370693683624265,0.5667587811703795,2026-02-25 17:39:42.971892,2026-02-25 17:46:34.723377,0 days 00:06:51.751485,32,0.0002667597581855618,256,0.026910048888943074,0,COMPLETE
28,28,0.46211879218325896,0.580147717675332,2026-02-25 17:46:34.724670,2026-02-25 17:52:46.414915,0 days 00:06:11.690245,8,0.0001110854630298798,512,0.027655383595007955,0,COMPLETE
29,29,0.4518059458997514,0.5929397296702047,2026-02-25 17:52:46.416209,2026-02-25 17:57:27.574954,0 days 00:04:41.158745,16,0.0004172462786544526,256,0.026511631900992396,0,COMPLETE
30,30,0.43694673975308734,0.6168536957481724,2026-02-25 17:57:27.576771,2026-02-25 18:01:45.733509,0 days 00:04:18.156738,16,0.0006892635981775712,256,0.0822406797665732,0,COMPLETE
31,31,0.4591125786304474,0.6024342735024832,2026-02-25 18:01:45.734844,2026-02-25 18:06:20.807678,0 days 00:04:35.072834,32,0.0007845433518893344,512,0.043962899782497594,0,COMPLETE
32,32,0.47374966740608215,0.5703474042243386,2026-02-25 18:06:20.808891,2026-02-25 18:16:37.489772,0 days 00:10:16.680881,32,0.00013281710395467942,256,0.022692018518223278,0,COMPLETE
33,33,0.45087340142991805,0.5798184331815222,2026-02-25 18:16:37.490989,2026-02-25 18:22:05.668737,0 days 00:05:28.177748,16,0.00017623909545597534,256,0.015972727394085628,0,COMPLETE
34,34,0.5084571778774262,0.5159784500691779,2026-02-25 18:22:05.670104,2026-02-25 18:33:30.809877,0 days 00:11:25.139773,32,6.05861980179219e-05,512,0.08368788672639894,0,COMPLETE
35,35,0.4889465669790904,0.529256331368021,2026-02-25 18:33:30.811216,2026-02-25 18:42:05.672466,0 days 00:08:34.861250,16,5.45288344539862e-05,512,0.08348757754708046,0,COMPLETE
36,36,0.4451357652159298,0.5959650365803821,2026-02-25 18:42:05.673972,2026-02-25 18:46:38.105865,0 days 00:04:32.431893,8,0.0003636461214286854,256,0.04299264194618871,0,COMPLETE
37,37,0.4567575910512139,0.5740496187928389,2026-02-25 18:46:38.107270,2026-02-25 18:52:49.622046,0 days 00:06:11.514776,8,9.938495445234695e-05,512,0.029710886961942563,0,COMPLETE
38,38,0.46694207853741115,0.5703244371273719,2026-02-25 18:52:49.623708,2026-02-25 19:01:46.441634,0 days 00:08:56.817926,16,9.753800239045956e-05,512,0.08713015712014725,0,COMPLETE
39,39,0.4613862666818831,0.5680709395064047,2026-02-25 19:01:46.443186,2026-02-25 19:08:01.105918,0 days 00:06:14.662732,16,0.00012924284645137482,512,0.01638571917621755,0,COMPLETE
40,40,0.5141855955123902,0.5173898697385385,2026-02-25 19:08:01.107817,2026-02-25 19:19:28.283430,0 days 00:11:27.175613,32,6.133758423635103e-05,256,0.07077177745647782,0,COMPLETE
41,41,0.4728552043437958,0.5624646187236133,2026-02-25 19:19:28.284674,2026-02-25 19:29:44.206192,0 days 00:10:15.921518,32,0.0001293024102002235,256,0.013409164324642576,0,COMPLETE
42,42,0.46802759170532227,0.5669351724621889,2026-02-25 19:29:44.207754,2026-02-25 19:37:11.471001,0 days 00:07:27.263247,8,5.834781626991432e-05,512,0.017887731495168292,0,COMPLETE
43,43,0.45437920619459715,0.5935193392869041,2026-02-25 19:37:11.472368,2026-02-25 19:40:54.957263,0 days 00:03:43.484895,8,0.0007218740741339757,256,0.010741547260875551,0,COMPLETE
44,44,0.4530673728269689,0.5902781017963571,2026-02-25 19:40:54.958621,2026-02-25 19:47:06.653523,0 days 00:06:11.694902,8,0.00011565003313032875,256,0.0967376456117018,0,COMPLETE
45,45,0.44317321313752067,0.5917012886537603,2026-02-25 19:47:06.654977,2026-02-25 19:50:37.435312,0 days 00:03:30.780335,16,0.000808858214876597,512,0.034398373241626444,0,COMPLETE
46,46,0.46178822307025685,0.5833741764815445,2026-02-25 19:50:37.437110,2026-02-25 19:55:35.120313,0 days 00:04:57.683203,8,0.0002358707019215342,512,0.02038703293444214,0,COMPLETE
47,47,0.44876571496327716,0.604640716374435,2026-02-25 19:55:35.121723,2026-02-25 20:01:25.684274,0 days 00:05:50.562551,16,0.00023839461463950068,512,0.09942591962700972,0,COMPLETE
48,48,0.46203902959823606,0.5836791666672465,2026-02-25 20:01:25.685846,2026-02-25 20:06:23.621743,0 days 00:04:57.935897,32,0.00047797990860651946,512,0.09581975457406706,0,COMPLETE
49,49,0.4491822211181416,0.5821216061986333,2026-02-25 20:06:23.623023,2026-02-25 20:10:30.864398,0 days 00:04:07.241375,8,0.00032247050427937807,512,0.012248747957474382,0,COMPLETE
