,number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_max_length,params_weight_decay,system_attrs_NSGAIISampler:generation,state
0,0,1.0659344932612251,0.0014623020770842441,2026-02-24 23:57:01.623704,2026-02-25 00:01:21.993755,0 days 00:04:20.370051,8,0.00036282508197421734,512,0.04536804522832799,0,COMPLETE
1,1,0.8402742624282837,0.23693024289574502,2026-02-25 00:01:21.996920,2026-02-25 00:14:38.746084,0 days 00:13:16.749164,32,9.267343819808692e-05,512,0.044669594052531604,0,COMPLETE
2,2,0.5314393639564514,0.5288291458084217,2026-02-25 00:14:38.749043,2026-02-25 00:22:53.881435,0 days 00:08:15.132392,8,0.00010840459087589133,256,0.04396405465529364,0,COMPLETE
3,3,0.5437043484519509,0.5192991586478483,2026-02-25 00:22:53.884146,2026-02-25 00:29:12.827650,0 days 00:06:18.943504,8,0.00014508631664479063,512,0.09851986994566514,0,COMPLETE
4,4,0.5264605651883518,0.5211127793172811,2026-02-25 00:29:12.830593,2026-02-25 00:37:54.789894,0 days 00:08:41.959301,8,6.535260124489486e-05,256,0.09699310766249396,0,COMPLETE
5,5,0.4884704105994281,0.5612516638393386,2026-02-25 00:37:54.792825,2026-02-25 00:48:05.527837,0 days 00:10:10.735012,8,0.0001727671014013453,512,0.017083100685925733,0,COMPLETE
6,6,1.14559063911438,0.0,2026-02-25 00:48:05.530626,2026-02-25 00:52:31.685437,0 days 00:04:26.154811,32,7.570582041516973e-05,256,0.016947429671674886,0,COMPLETE
7,7,0.5759672158294253,0.5240447561090409,2026-02-25 00:52:31.687658,2026-02-25 01:05:13.167445,0 days 00:12:41.479787,16,0.00016890543101863982,256,0.07535452435775858,0,COMPLETE
8,8,0.5627884334988065,0.47366982784914863,2026-02-25 01:05:13.170366,2026-02-25 01:14:20.828712,0 days 00:09:07.658346,16,8.764763739114524e-05,512,0.047765220972415236,0,COMPLETE
9,9,0.5300605770419625,0.528170012642265,2026-02-25 01:14:20.831405,2026-02-25 01:26:25.089497,0 days 00:12:04.258092,8,5.4541588243950395e-05,256,0.007918352747038327,0,COMPLETE
10,10,0.5624952481852638,0.552360031059379,2026-02-25 01:26:25.092448,2026-02-25 01:36:54.250315,0 days 00:10:29.157867,16,0.00019240551189853163,512,0.06734679631287951,0,COMPLETE
11,11,0.5168426597819609,0.5484539210896175,2026-02-25 01:36:54.253146,2026-02-25 01:46:34.450378,0 days 00:09:40.197232,8,7.805727922003392e-05,256,0.03255523667569701,0,COMPLETE
12,12,0.6651519536972046,0.43697269455586296,2026-02-25 01:46:34.453407,2026-02-25 01:59:22.532207,0 days 00:12:48.078800,32,0.00039069154804497835,256,0.0998623313799062,0,COMPLETE
13,13,0.4954530596733093,0.5360201247479225,2026-02-25 01:59:22.535002,2026-02-25 02:09:22.851475,0 days 00:10:00.316473,16,0.0008975958014819643,256,0.057781929183177,0,COMPLETE
14,14,0.5216806013794506,0.5341481470115746,2026-02-25 02:09:22.854499,2026-02-25 02:21:29.790692,0 days 00:12:06.936193,8,7.477654095449048e-05,512,0.019178481391920466,0,COMPLETE
15,15,0.6156031025780572,0.39744443935026885,2026-02-25 02:21:29.793584,2026-02-25 02:30:38.221971,0 days 00:09:08.428387,16,6.863662160775362e-05,256,0.05285617188173528,0,COMPLETE
16,16,0.5620617445777444,0.5305514981773582,2026-02-25 02:30:38.224438,2026-02-25 02:43:38.317448,0 days 00:13:00.093010,8,7.662453299343765e-05,512,0.061374411122738864,0,COMPLETE
17,17,0.5448603147969526,0.5684096770324838,2026-02-25 02:43:38.322242,2026-02-25 02:50:52.487016,0 days 00:07:14.164774,8,0.0002936854448728955,512,0.0016751993656326958,0,COMPLETE
18,18,1.0954437017440797,0.0,2026-02-25 02:50:52.489926,2026-02-25 02:56:36.146427,0 days 00:05:43.656501,32,0.0003839446112716868,256,0.02266719095958114,0,COMPLETE
19,19,0.5221519443918677,0.5912419132650913,2026-02-25 02:56:36.149326,2026-02-25 03:07:11.077345,0 days 00:10:34.928019,8,0.0002535418369719828,512,0.02554791310047232,0,COMPLETE
