,number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_max_length,params_weight_decay,system_attrs_NSGAIISampler:generation,state
0,0,0.4700799971818924,0.5831399667051539,2026-02-25 07:18:19.171215,2026-02-25 07:26:03.139543,0 days 00:07:43.968328,16,0.00022806059930817016,256,0.08416100508545199,0,COMPLETE
1,1,0.45801118643660294,0.5942064151811889,2026-02-25 07:26:03.143214,2026-02-25 07:31:18.025505,0 days 00:05:14.882291,8,0.0008540291470798485,256,0.029999310524347702,0,COMPLETE
2,2,0.4922614902257919,0.5557838212568018,2026-02-25 07:31:18.029347,2026-02-25 07:45:05.369828,0 days 00:13:47.340481,16,5.449502810261943e-05,256,0.07200614213128884,0,COMPLETE
3,3,0.4677222214247051,0.5841361134689073,2026-02-25 07:45:05.373647,2026-02-25 07:51:21.776900,0 days 00:06:16.403253,8,0.0001650530319953742,512,0.0654623290404298,0,COMPLETE
4,4,0.46974376738071444,0.5814501007994515,2026-02-25 07:51:21.780501,2026-02-25 07:58:12.924578,0 days 00:06:51.144077,16,0.0002482576044476962,256,0.0854019003194108,0,COMPLETE
5,5,0.4572050929069519,0.5948194980085767,2026-02-25 07:58:12.928451,2026-02-25 08:04:26.971847,0 days 00:06:14.043396,32,0.000540569269701261,256,0.0866536010492829,0,COMPLETE
6,6,0.4820850670337677,0.5731795392114747,2026-02-25 08:04:26.974625,2026-02-25 08:13:59.351511,0 days 00:09:32.376886,16,0.00013300318805126483,512,0.07605291899362354,0,COMPLETE
7,7,0.4913972496986389,0.5396712577061933,2026-02-25 08:13:59.354257,2026-02-25 08:24:44.464508,0 days 00:10:45.110251,32,0.00011391047254781209,512,0.08130609900607091,0,COMPLETE
8,8,0.46898034811019895,0.5637890255610579,2026-02-25 08:24:44.467335,2026-02-25 08:38:07.475591,0 days 00:13:23.008256,32,0.0001788413697039459,512,0.08412129179079442,0,COMPLETE
9,9,0.4747199463216882,0.5736434421287204,2026-02-25 08:38:07.478150,2026-02-25 08:45:48.879190,0 days 00:07:41.401040,8,9.105737774162785e-05,256,0.09468972908358142,0,COMPLETE
10,10,0.4728563710262901,0.5771605447106767,2026-02-25 08:45:48.883052,2026-02-25 08:51:36.143560,0 days 00:05:47.260508,8,0.0002895936253719353,512,0.029986528606105456,0,COMPLETE
11,11,0.4511466277273078,0.597170194083785,2026-02-25 08:51:36.147328,2026-02-25 08:56:22.392184,0 days 00:04:46.244856,8,0.0007606896575966463,512,0.021663807072806785,0,COMPLETE
12,12,0.44737269878387453,0.589932435948346,2026-02-25 08:56:22.395861,2026-02-25 09:03:29.446186,0 days 00:07:07.050325,32,0.0005531204870800144,512,0.09297925797714068,0,COMPLETE
13,13,0.4867708295583725,0.5733514368456046,2026-02-25 09:03:29.449818,2026-02-25 09:17:01.500306,0 days 00:13:32.050488,16,6.976901612026378e-05,256,0.07492357076454807,0,COMPLETE
14,14,0.504095983505249,0.5237386706134197,2026-02-25 09:17:01.504129,2026-02-25 09:30:30.105801,0 days 00:13:28.601672,32,7.826335368546074e-05,256,0.07906268946162241,0,COMPLETE
15,15,0.4643124702729677,0.5852043534137619,2026-02-25 09:30:30.109240,2026-02-25 09:38:37.577622,0 days 00:08:07.468382,8,8.628618057299396e-05,512,0.025665518853739813,0,COMPLETE
16,16,0.4652315440930818,0.5821877491690338,2026-02-25 09:38:37.580171,2026-02-25 09:43:55.000857,0 days 00:05:17.420686,8,0.0002196903242166457,512,0.06690477208138416,0,COMPLETE
17,17,0.4974552124738693,0.548392097937269,2026-02-25 09:43:55.003306,2026-02-25 09:57:44.648807,0 days 00:13:49.645501,16,5.003103150944184e-05,512,0.02017324180473448,0,COMPLETE
