,number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_max_length,params_weight_decay,system_attrs_NSGAIISampler:generation,state
0,0,0.5046693649556901,0.5763099516681206,2026-03-15 06:08:26.666181,2026-03-15 06:19:03.592190,0 days 00:10:36.926009,32,0.0003800000000000001,256,0.05,0,COMPLETE
1,1,0.4822932779788971,0.5548312085279301,2026-03-15 06:19:03.595166,2026-03-15 06:36:30.333390,0 days 00:17:26.738224,16,0.00016,512,0.015,0,COMPLETE
2,2,0.4587109088897705,0.5822194770239861,2026-03-15 06:36:30.335718,2026-03-15 06:47:53.569777,0 days 00:11:23.234059,16,0.0004900000000000001,512,0.085,0,COMPLETE
3,3,0.475620424657157,0.6160075824921597,2026-03-15 06:47:53.572480,2026-03-15 06:55:57.136805,0 days 00:08:03.564325,8,0.0007400000000000001,256,0.09,0,COMPLETE
4,4,0.49537211656570435,0.5810577665750057,2026-03-15 06:55:57.139063,2026-03-15 07:05:06.851991,0 days 00:09:09.712928,32,0.00030000000000000003,256,0.07,0,COMPLETE
5,5,0.4701601465543111,0.5910125912591947,2026-03-15 07:05:06.854437,2026-03-15 07:20:00.403031,0 days 00:14:53.548594,16,0.00030000000000000003,512,0.005,0,COMPLETE
6,6,0.4798215561442905,0.5740676260141724,2026-03-15 07:20:00.405790,2026-03-15 07:28:31.643786,0 days 00:08:31.237996,32,0.0004000000000000001,256,0.06,0,COMPLETE
7,7,0.4853444713003495,0.5671204678301196,2026-03-15 07:28:31.646676,2026-03-15 07:38:53.967237,0 days 00:10:22.320561,16,0.00014000000000000001,256,0.06,0,COMPLETE
8,8,0.5037862526045905,0.5503876310111464,2026-03-15 07:38:53.969559,2026-03-15 07:48:08.758799,0 days 00:09:14.789240,32,0.00030000000000000003,256,0.025,0,COMPLETE
9,9,0.455335375140695,0.6169807709501449,2026-03-15 07:48:08.760981,2026-03-15 08:04:17.089421,0 days 00:16:08.328440,8,0.0006700000000000001,512,0.025,0,COMPLETE
10,10,1.096432997899897,0.0,2026-03-15 08:04:17.092344,2026-03-15 08:09:37.775628,0 days 00:05:20.683284,8,0.0008200000000000001,512,0.015,0,COMPLETE
11,11,0.46153705649905735,0.5911205854866226,2026-03-15 08:09:37.778471,2026-03-15 08:17:26.785738,0 days 00:07:49.007267,32,0.0008700000000000001,256,0.015,0,COMPLETE
12,12,0.45345338740769553,0.5664822896069952,2026-03-15 08:17:26.787808,2026-03-15 08:29:06.855657,0 days 00:11:40.067849,8,0.00022,512,0.0,0,COMPLETE
13,13,1.1219593048095704,0.0,2026-03-15 08:29:06.858017,2026-03-15 09:24:04.720057,0 days 00:54:57.862040,32,2e-05,512,0.005,0,COMPLETE
14,14,0.4962227940559387,0.5798492836773201,2026-03-15 09:24:04.722242,2026-03-15 10:01:01.715987,0 days 00:36:56.993745,32,0.0003400000000000001,512,0.075,0,COMPLETE
15,15,0.4872731135951148,0.5960981810673158,2026-03-15 10:01:01.718695,2026-03-15 10:33:35.958253,0 days 00:32:34.239558,16,0.0007100000000000001,512,0.07,0,COMPLETE
16,16,0.45720779564645553,0.6068102194243872,2026-03-15 10:33:35.960990,2026-03-15 11:00:01.925114,0 days 00:26:25.964124,16,0.0006200000000000001,512,0.095,0,COMPLETE
17,17,0.48375237123532727,0.5771740354335912,2026-03-15 11:00:01.927201,2026-03-15 11:21:41.062046,0 days 00:21:39.134845,8,0.00016,256,0.005,0,COMPLETE
18,18,0.47535847425460814,0.575523456834955,2026-03-15 11:21:41.064908,2026-03-15 11:55:14.039833,0 days 00:33:32.974925,32,0.00072,512,0.03,0,COMPLETE
19,19,0.49454238679673934,0.5794871865001494,2026-03-15 11:55:14.042011,2026-03-15 12:31:27.480196,0 days 00:36:13.438185,16,0.00023,512,0.095,0,COMPLETE
20,20,0.48611646845485224,0.6130894470705277,2026-03-15 12:31:27.482302,2026-03-15 12:51:31.439147,0 days 00:20:03.956845,8,0.00076,256,0.04,0,COMPLETE
21,21,0.5214609146118164,0.5502832268173526,2026-03-15 12:51:31.442056,2026-03-15 13:38:38.304080,0 days 00:47:06.862024,32,0.0003600000000000001,512,0.0,0,COMPLETE
22,22,0.48589501642819605,0.5389690409224059,2026-03-15 13:38:38.306130,2026-03-15 13:54:18.606708,0 days 00:15:40.300578,8,0.00026000000000000003,256,0.045,0,COMPLETE
23,23,0.459512477571314,0.5787914953965757,2026-03-15 13:54:18.609664,2026-03-15 14:10:11.417467,0 days 00:15:52.807803,8,0.00046000000000000007,256,0.03,0,COMPLETE
24,24,0.4555934544871835,0.5545100779088743,2026-03-15 14:10:11.419744,2026-03-15 14:29:34.483823,0 days 00:19:23.064079,8,0.00055,512,0.08,0,COMPLETE
25,25,0.46141624713645263,0.619399432667959,2026-03-15 14:29:34.486600,2026-03-15 14:47:11.633325,0 days 00:17:37.146725,16,0.0008400000000000001,256,0.085,0,COMPLETE
