,number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_max_length,params_weight_decay,system_attrs_NSGAIISampler:generation,state
0,0,0.9537915587425232,0.0,2026-02-22 03:36:00.487479,2026-02-22 03:39:56.293412,0 days 00:03:55.805933,32,1.675007345094258e-05,256,0.08744665807246188,0,COMPLETE
1,1,0.6286772012710571,0.4118655116014025,2026-02-22 03:39:56.295294,2026-02-22 03:43:52.017400,0 days 00:03:55.722106,32,3.671256342396026e-05,512,0.09517710638168292,0,COMPLETE
2,2,0.4465706706047058,0.5856649757585514,2026-02-22 03:43:52.019363,2026-02-22 03:46:15.969125,0 days 00:02:23.949762,32,0.0007978621671966384,256,0.040343111596491676,0,COMPLETE
3,3,0.4881060838699341,0.5629931595119897,2026-02-22 03:46:15.970933,2026-02-22 03:48:55.401257,0 days 00:02:39.430324,16,9.0745669487598e-05,256,0.07943507698560269,0,COMPLETE
4,4,3.2434776782989503,0.009499758935757538,2026-02-22 03:48:55.403028,2026-02-22 03:52:41.549957,0 days 00:03:46.146929,16,1.195647521423903e-06,256,0.09368166362257747,0,COMPLETE
5,5,0.4672254574926276,0.5926169752304526,2026-02-22 03:52:41.551822,2026-02-22 03:54:29.854506,0 days 00:01:48.302684,8,9.128518664297434e-05,256,0.04302383535785061,0,COMPLETE
6,6,0.49566777646541593,0.5594578650450818,2026-02-22 03:54:29.856358,2026-02-22 03:56:11.589470,0 days 00:01:41.733112,16,0.0003383748493110369,256,0.02546517550358648,0,COMPLETE
7,7,2.8670669078826903,0.0056637416978206085,2026-02-22 03:56:11.591252,2026-02-22 04:00:07.828496,0 days 00:03:56.237244,32,2.1013353207868423e-06,256,0.014081193727287568,0,COMPLETE
8,8,0.7435564875602723,0.33789309479051943,2026-02-22 04:00:07.829923,2026-02-22 04:04:03.872450,0 days 00:03:56.042527,32,2.847714101506438e-05,256,0.014343958414663006,0,COMPLETE
9,9,0.47125972509384156,0.5618527948221853,2026-02-22 04:04:03.874210,2026-02-22 04:06:14.636382,0 days 00:02:10.762172,32,0.00046531866922342363,512,0.005804687196158432,0,COMPLETE
10,10,0.4690731936379483,0.5796034090201418,2026-02-22 04:06:14.638196,2026-02-22 04:08:03.787703,0 days 00:01:49.149507,8,0.00012526936015455165,512,0.03741871647031705,0,COMPLETE
