,number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_max_length,params_weight_decay,system_attrs_NSGAIISampler:generation,state
0,0,0.704465675354004,0.4812232959563197,2026-02-26 05:00:45.232610,2026-02-26 05:18:29.646201,0 days 00:17:44.413591,32,0.00025549483024539505,256,0.0033833905123837106,0,COMPLETE
1,1,0.702665102481842,0.4865166858477309,2026-02-26 05:18:29.648410,2026-02-26 05:36:13.474899,0 days 00:17:43.826489,32,0.00025631388794059023,256,0.028651529415333145,0,COMPLETE
2,2,1.3460574865341186,0.0,2026-02-26 05:36:13.477904,2026-02-26 05:54:01.604689,0 days 00:17:48.126785,32,6.062818130079459e-05,512,0.0024005068505077334,0,COMPLETE
3,3,1.3771191835403442,0.0,2026-02-26 05:54:01.606956,2026-02-26 06:11:50.021435,0 days 00:17:48.414479,32,6.014607501464194e-05,512,0.052613763655984684,0,COMPLETE
4,4,0.6361390829086304,0.5115471193963733,2026-02-26 06:11:50.023862,2026-02-26 06:29:26.338667,0 days 00:17:36.314805,32,0.00031223850067982226,256,0.05957930249731583,0,COMPLETE
5,5,0.8750359058380127,0.2928399953568479,2026-02-26 06:29:26.340675,2026-02-26 06:47:13.701030,0 days 00:17:47.360355,32,0.0001294462663103255,256,0.07717830988879143,0,COMPLETE
6,6,0.5999139666557312,0.5504809110497343,2026-02-26 06:47:13.703380,2026-02-26 06:59:27.558867,0 days 00:12:13.855487,32,0.0006292929690784565,512,0.07891254675740066,0,COMPLETE
7,7,0.6349950075149536,0.5233768224642948,2026-02-26 06:59:27.561079,2026-02-26 07:16:18.465083,0 days 00:16:50.904004,32,0.0003921990309782807,256,0.08062171946969823,0,COMPLETE
8,8,0.603956651687622,0.5518755692659109,2026-02-26 07:16:18.467382,2026-02-26 07:31:47.797988,0 days 00:15:29.330606,16,0.0003365131535778673,256,0.01338630018632926,0,COMPLETE
9,9,0.7270561218261719,0.4599488123769109,2026-02-26 07:31:47.801287,2026-02-26 07:49:31.032191,0 days 00:17:43.230904,32,0.00019040688771460805,512,0.07777335503011001,0,COMPLETE
10,10,0.6200332955310219,0.5346987704817256,2026-02-26 07:49:31.036139,2026-02-26 07:57:10.648237,0 days 00:07:39.612098,8,0.00038022419300824466,512,0.06699019024030499,0,COMPLETE
11,11,0.6307624161243439,0.5288492177418213,2026-02-26 07:57:10.652021,2026-02-26 08:15:12.100302,0 days 00:18:01.448281,16,0.0001684309483136315,256,0.036977687680938585,0,COMPLETE
12,12,0.7960794508457184,0.4160152574307011,2026-02-26 08:15:12.101564,2026-02-26 08:33:23.857974,0 days 00:18:11.756410,16,8.232260833672228e-05,512,0.04841157212245997,0,COMPLETE
13,13,0.6421066045761108,0.5157385538365529,2026-02-26 08:33:23.860304,2026-02-26 08:50:57.915004,0 days 00:17:34.054700,32,0.00031454339411684823,512,0.06315644887218579,0,COMPLETE
14,14,1.3297019481658936,0.0,2026-02-26 08:50:57.918762,2026-02-26 09:08:45.036457,0 days 00:17:47.117695,32,6.233331255277732e-05,512,0.02764302100032702,0,COMPLETE
15,15,0.6052361444423073,0.5613640111162429,2026-02-26 09:08:45.038658,2026-02-26 09:15:45.457440,0 days 00:07:00.418782,8,0.0005509785249534633,512,0.056102183216641545,0,COMPLETE
16,16,0.6028278689635428,0.5605813766476615,2026-02-26 09:15:45.460061,2026-02-26 09:25:59.105019,0 days 00:10:13.644958,8,0.0003271910122206836,256,0.03950935823367882,0,COMPLETE
17,17,1.3874882936477662,0.0,2026-02-26 09:25:59.108630,2026-02-26 09:43:47.888849,0 days 00:17:48.780219,32,5.8176743056837224e-05,256,0.038483733287620316,0,COMPLETE
18,18,0.6251278281211853,0.5198865719363662,2026-02-26 09:43:47.892943,2026-02-26 10:01:16.611118,0 days 00:17:28.718175,32,0.0003646165952857082,512,0.005727447376021689,0,COMPLETE
19,19,0.6132575750350953,0.5653899686645059,2026-02-26 10:01:16.613311,2026-02-26 10:12:35.849807,0 days 00:11:19.236496,16,0.0003751510357736996,512,0.058591161177791576,0,COMPLETE
20,20,0.7499599933624268,0.4187630980533875,2026-02-26 10:12:35.853926,2026-02-26 10:30:48.210736,0 days 00:18:12.356810,16,6.866462049729259e-05,512,0.0005626278168549437,0,COMPLETE
21,21,0.7405187964439393,0.43753023960504417,2026-02-26 10:30:48.214322,2026-02-26 10:48:33.423351,0 days 00:17:45.209029,32,0.00022303754420697203,512,0.036599999850195734,0,COMPLETE
22,22,0.6185487151145935,0.5355311062926217,2026-02-26 10:48:33.426450,2026-02-26 11:06:10.554994,0 days 00:17:37.128544,32,0.00041571071828446865,256,0.0891276749743956,0,COMPLETE
23,23,0.6221521317958831,0.5384714917839046,2026-02-26 11:06:10.558972,2026-02-26 11:23:25.195530,0 days 00:17:14.636558,16,0.00021814989386084195,512,0.022557246865075167,0,COMPLETE
24,24,0.6316196382045746,0.5145263301249792,2026-02-26 11:23:25.198651,2026-02-26 11:34:56.809387,0 days 00:11:31.610736,16,0.0003791606811579622,256,0.09711282028699131,0,COMPLETE
25,25,0.695054805278778,0.47496748096978253,2026-02-26 11:34:56.813408,2026-02-26 11:53:07.891288,0 days 00:18:11.077880,32,0.0003133212774497995,512,0.043552717803262565,0,COMPLETE
