,number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_max_length,params_weight_decay,system_attrs_NSGAIISampler:generation,state
0,0,0.5102024094925987,0.5219791887874282,2026-03-12 10:13:12.378829,2026-03-12 10:32:26.193526,0 days 00:19:13.814697,8,0.0005400000000000001,512,0.065,0,COMPLETE
1,1,0.5348970115184783,0.4925613188580619,2026-03-12 10:32:26.194535,2026-03-12 11:10:43.152486,0 days 00:38:16.957951,32,0.00029000000000000006,512,0.005,0,COMPLETE
2,2,0.5142522681327093,0.5109870698791775,2026-03-12 11:10:43.153207,2026-03-12 11:25:08.211703,0 days 00:14:25.058496,16,0.00045000000000000004,256,0.04,0,COMPLETE
3,3,0.5104009740882449,0.5170254403131115,2026-03-12 11:25:08.212453,2026-03-12 11:45:00.824327,0 days 00:19:52.611874,16,0.0004000000000000001,512,0.02,0,COMPLETE
4,4,0.5578062209216031,0.4674564459930314,2026-03-12 11:45:00.825091,2026-03-12 12:28:31.305356,0 days 00:43:30.480265,32,7.000000000000001e-05,256,0.1,0,COMPLETE
5,5,0.5079445143540701,0.506629168340699,2026-03-12 12:28:31.306010,2026-03-12 12:44:46.745552,0 days 00:16:15.439542,16,0.0007100000000000001,512,0.09,0,COMPLETE
6,6,0.5053494714555287,0.5155069439447362,2026-03-12 12:44:46.746298,2026-03-12 12:59:02.758327,0 days 00:14:16.012029,16,0.0008300000000000001,256,0.07,0,COMPLETE
7,7,0.5084861842068759,0.5103734439834025,2026-03-12 12:59:02.759074,2026-03-12 13:25:30.278478,0 days 00:26:27.519404,32,0.00018,256,0.055,0,COMPLETE
8,8,0.5001822942640723,0.5203970628229535,2026-03-12 13:25:30.279264,2026-03-12 13:43:02.034355,0 days 00:17:31.755091,8,0.00021,256,0.025,0,COMPLETE
9,9,0.5081542074680329,0.5221309833767274,2026-03-12 13:43:02.035234,2026-03-12 14:12:32.789006,0 days 00:29:30.753772,32,0.0004000000000000001,512,0.055,0,COMPLETE
10,10,0.5481371223926544,0.49477143710785776,2026-03-12 14:12:32.789775,2026-03-12 15:04:33.297284,0 days 00:52:00.507509,32,0.00016,512,0.07,0,COMPLETE
11,11,0.48961418867111206,0.5014003688776556,2026-03-12 15:04:33.298039,2026-03-12 15:22:45.062500,0 days 00:18:11.764461,32,0.00032,256,0.05,0,COMPLETE
12,12,0.5038406491279602,0.5259501835863849,2026-03-12 15:22:45.063690,2026-03-12 15:50:35.154427,0 days 00:27:50.090737,32,0.0007900000000000001,512,0.005,0,COMPLETE
13,13,0.5140579424121163,0.49897917517354023,2026-03-12 15:50:35.155237,2026-03-12 16:13:49.012868,0 days 00:23:13.857631,32,0.00022,256,0.05,0,COMPLETE
14,14,0.486831933259964,0.529550343132234,2026-03-12 16:13:49.013789,2026-03-12 16:31:49.369969,0 days 00:18:00.356180,16,0.0008400000000000001,512,0.04,0,COMPLETE
15,15,0.5123487456542689,0.49893692416725727,2026-03-12 16:31:49.370822,2026-03-12 17:03:02.793826,0 days 00:31:13.423004,8,7.000000000000001e-05,256,0.06,0,COMPLETE
16,16,0.5017367859439152,0.5135603801068184,2026-03-12 17:03:02.794680,2026-03-12 17:24:26.227967,0 days 00:21:23.433287,8,0.0001,256,0.03,0,COMPLETE
17,17,0.49468518722625004,0.5339839186310219,2026-03-12 17:24:26.228788,2026-03-12 17:42:15.316165,0 days 00:17:49.087377,16,0.00033000000000000005,256,0.085,0,COMPLETE
18,18,0.5249484890983218,0.4900625043893531,2026-03-12 17:42:15.316897,2026-03-12 18:12:36.784831,0 days 00:30:21.467934,16,0.00011,256,0.015,0,COMPLETE
19,19,0.5168771176111131,0.5070898041863605,2026-03-12 18:12:36.785629,2026-03-12 18:32:19.786205,0 days 00:19:43.000576,16,0.0002,256,0.04,0,COMPLETE
20,20,0.4936125034635717,0.5155104342921601,2026-03-12 18:32:19.786991,2026-03-12 18:50:35.074051,0 days 00:18:15.287060,32,0.00032,256,0.015,0,COMPLETE
21,21,0.49827865578911523,0.5041192891672909,2026-03-12 18:50:35.074835,2026-03-12 19:18:52.869508,0 days 00:28:17.794673,32,0.00015000000000000001,256,0.1,0,COMPLETE
22,22,0.5198477923870086,0.5105152995116118,2026-03-12 19:18:52.870221,2026-03-12 19:41:32.932253,0 days 00:22:40.062032,32,0.0008500000000000001,512,0.025,0,COMPLETE
