,number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_max_length,params_weight_decay,system_attrs_NSGAIISampler:generation,state
0,0,4.76731309890747,0.0004976231670689208,2026-02-22 06:10:19.871128,2026-02-22 06:15:13.994176,0 days 00:04:54.123048,32,2.9995504594705535e-06,256,0.022573511693105033,0,COMPLETE
1,1,1.5601626844967114,0.0,2026-02-22 06:15:13.995695,2026-02-22 06:19:42.179765,0 days 00:04:28.184070,8,9.224429025255121e-06,256,0.07253863138237626,0,COMPLETE
2,2,1.584660084808574,0.0,2026-02-22 06:19:42.181488,2026-02-22 06:24:10.485216,0 days 00:04:28.303728,8,7.529092545182313e-06,256,0.041738855840852074,0,COMPLETE
3,3,4.706461334228516,0.010588587034129167,2026-02-22 06:24:10.486840,2026-02-22 06:29:05.001358,0 days 00:04:54.514518,32,2.9961514807083524e-06,256,0.08504556053568317,0,COMPLETE
4,4,1.601557159423828,0.0,2026-02-22 06:29:05.002782,2026-02-22 06:33:55.937535,0 days 00:04:50.934753,32,2.0344265893980492e-05,256,0.09255690385999228,0,COMPLETE
5,5,1.6477794170379638,0.0,2026-02-22 06:33:55.939106,2026-02-22 06:38:48.711157,0 days 00:04:52.772051,32,9.627156814009866e-06,512,0.09468293569332989,0,COMPLETE
6,6,1.6115217208862305,0.0,2026-02-22 06:38:48.712613,2026-02-22 06:43:19.414087,0 days 00:04:30.701474,32,2.512857084330716e-05,512,0.09647554949118178,0,COMPLETE
7,7,2.7675007090849033,0.0,2026-02-22 06:43:19.415639,2026-02-22 06:47:51.058183,0 days 00:04:31.642544,8,1.1427036963133359e-06,512,0.005343252747765415,0,COMPLETE
8,8,1.999175453186035,0.0,2026-02-22 06:47:51.059918,2026-02-22 06:52:44.098767,0 days 00:04:53.038849,32,5.584698243185225e-06,256,0.014067413189944878,0,COMPLETE
9,9,1.6022648572921754,0.0,2026-02-22 06:52:44.100146,2026-02-22 06:54:12.215714,0 days 00:01:28.115568,32,0.0008172441277915058,512,0.02682827227175858,0,COMPLETE
10,10,1.6043297582202487,0.0,2026-02-22 06:54:12.217335,2026-02-22 06:59:00.493150,0 days 00:04:48.275815,16,9.412485649032151e-06,512,0.05990083507058144,0,COMPLETE
11,11,0.6436633239774143,0.5283742505787635,2026-02-22 06:59:00.494681,2026-02-22 07:02:33.964586,0 days 00:03:33.469905,8,0.0003091770416466736,256,0.09983445399645122,0,COMPLETE
12,12,1.4114014506340027,0.0,2026-02-22 07:02:33.966271,2026-02-22 07:07:03.623478,0 days 00:04:29.657207,8,2.8059086233090405e-05,256,0.03521090334409823,0,COMPLETE
13,13,1.5942256380529964,0.0,2026-02-22 07:07:03.625154,2026-02-22 07:07:58.009544,0 days 00:00:54.384390,8,0.00015829444062241175,512,0.03154387103735266,0,COMPLETE
14,14,1.4950680347049938,0.0,2026-02-22 07:07:58.011449,2026-02-22 07:09:10.447413,0 days 00:01:12.435964,8,0.000713872771379412,512,0.08215427478514765,0,COMPLETE
15,15,9.663481712341309,0.005031037546112971,2026-02-22 07:09:10.449153,2026-02-22 07:14:06.550402,0 days 00:04:56.101249,32,1.2265671593905593e-06,512,0.037862851550753786,0,COMPLETE
16,16,1.4389904499053956,0.0,2026-02-22 07:14:06.552068,2026-02-22 07:18:58.769203,0 days 00:04:52.217135,32,4.1053662766558806e-05,256,0.0437939410290529,0,COMPLETE
17,17,1.0553268895429724,0.20715405195494138,2026-02-22 07:18:58.770814,2026-02-22 07:23:27.162407,0 days 00:04:28.391593,8,3.487925216781653e-05,256,0.050154290333342524,0,COMPLETE
18,18,1.5956622229682074,0.0,2026-02-22 07:23:27.164134,2026-02-22 07:24:44.583460,0 days 00:01:17.419326,16,0.00010747214248813658,256,0.06331392132890099,0,COMPLETE
19,19,1.5867736549938427,0.0,2026-02-22 07:24:44.585080,2026-02-22 07:26:05.364542,0 days 00:01:20.779462,8,0.0005619355353088891,512,0.06377418218133638,0,COMPLETE
20,20,0.85385705365075,0.3359621226090867,2026-02-22 07:26:05.366276,2026-02-22 07:30:50.719159,0 days 00:04:45.352883,16,0.0001343474242139004,256,0.022231254939463565,0,COMPLETE
21,21,0.7097242649863748,0.49354212694281446,2026-02-22 07:30:50.720732,2026-02-22 07:35:16.454039,0 days 00:04:25.733307,8,0.00031284054089196256,256,0.05490829188125887,0,COMPLETE
22,22,1.5823780263171476,0.0,2026-02-22 07:35:16.456029,2026-02-22 07:36:54.373809,0 days 00:01:37.917780,8,0.00045199357913643464,512,0.03683041489627933,0,COMPLETE
23,23,6.685274314880371,0.0039273418526402665,2026-02-22 07:36:54.375482,2026-02-22 07:41:49.675175,0 days 00:04:55.299693,32,1.903336782934555e-06,256,0.0556968334015181,0,COMPLETE
24,24,1.633429888416739,0.0,2026-02-22 07:41:49.676331,2026-02-22 07:46:20.412235,0 days 00:04:30.735904,8,3.6866706074995622e-06,512,0.07970661023900777,0,COMPLETE
25,25,1.5918775306028479,0.0,2026-02-22 07:46:20.413794,2026-02-22 07:47:23.879298,0 days 00:01:03.465504,8,0.0005746079284618279,512,0.03375329766078721,0,COMPLETE
26,26,1.5893812444474962,0.0,2026-02-22 07:47:23.880843,2026-02-22 07:48:50.713518,0 days 00:01:26.832675,16,0.00011339784338087104,512,0.07223844566961747,0,COMPLETE
27,27,1.5997022257910833,0.0,2026-02-22 07:48:50.715122,2026-02-22 07:53:37.085276,0 days 00:04:46.370154,16,1.3096440573792538e-05,256,0.053785525334303065,0,COMPLETE
28,28,1.5928844928741455,0.0,2026-02-22 07:53:37.086926,2026-02-22 07:55:14.421967,0 days 00:01:37.335041,32,0.00022886737738178105,512,0.07761476360128071,0,COMPLETE
29,29,1.5894855786772335,0.0,2026-02-22 07:55:14.423563,2026-02-22 07:57:10.616892,0 days 00:01:56.193329,8,0.0002604876497281779,256,0.02688199651806803,0,COMPLETE
30,30,1.59418466091156,0.0,2026-02-22 07:57:10.618419,2026-02-22 07:58:38.395456,0 days 00:01:27.777037,32,0.00029728572918974553,512,0.04052214527032262,0,COMPLETE
31,31,1.643810181056752,0.0,2026-02-22 07:58:38.396984,2026-02-22 08:03:08.285200,0 days 00:04:29.888216,8,2.831431885581811e-06,256,0.06503455170518331,0,COMPLETE
32,32,1.5913629566921907,0.0,2026-02-22 08:03:08.286779,2026-02-22 08:06:04.588494,0 days 00:02:56.301715,8,0.0004947616889309728,256,0.09468794815199594,0,COMPLETE
33,33,1.596106595463223,0.0,2026-02-22 08:06:04.590440,2026-02-22 08:08:27.020758,0 days 00:02:22.430318,16,0.00043024845577135137,256,0.0087023148997044,0,COMPLETE
34,34,5.5070803960164385,0.011373917075926134,2026-02-22 08:08:27.022305,2026-02-22 08:13:17.743995,0 days 00:04:50.721690,16,1.2515962208542396e-06,512,0.008933572822481195,0,COMPLETE
35,35,1.6010745763778687,0.0,2026-02-22 08:13:17.745519,2026-02-22 08:18:09.410911,0 days 00:04:51.665392,32,2.823344579984793e-05,512,0.039107502819978816,0,COMPLETE
36,36,1.2789124250411987,0.010576495898509088,2026-02-22 08:18:09.412436,2026-02-22 08:22:54.794569,0 days 00:04:45.382133,16,0.0002497020659785246,512,0.0022843872022687006,0,COMPLETE
37,37,1.615609712070889,0.0,2026-02-22 08:22:54.796313,2026-02-22 08:27:43.774212,0 days 00:04:48.977899,16,6.3654787381197095e-06,512,0.03899780803933677,0,COMPLETE
38,38,8.787815856933594,0.0059168249926672975,2026-02-22 08:27:43.775738,2026-02-22 08:32:40.341214,0 days 00:04:56.565476,32,1.7007027764233432e-06,256,0.05456432186562646,0,COMPLETE
39,39,1.5966137912538316,0.0,2026-02-22 08:32:40.342992,2026-02-22 08:33:48.171565,0 days 00:01:07.828573,16,0.0001659265071836118,512,0.06724261590033907,0,COMPLETE
40,40,1.6006794108284845,0.0,2026-02-22 08:33:48.173218,2026-02-22 08:38:35.312716,0 days 00:04:47.139498,16,1.0214625557492087e-05,256,0.01888798559258106,0,COMPLETE
41,41,1.5902684926986694,0.0,2026-02-22 08:38:35.314305,2026-02-22 08:41:48.781469,0 days 00:03:13.467164,32,4.2772594124581885e-05,512,0.07381640636727183,0,COMPLETE
42,42,5.142825984954834,0.002743151792140055,2026-02-22 08:41:48.783015,2026-02-22 08:46:43.123753,0 days 00:04:54.340738,32,3.644150813239142e-06,512,0.019294662299836774,0,COMPLETE
43,43,1.5927372259252213,0.0,2026-02-22 08:46:43.125373,2026-02-22 08:48:30.020093,0 days 00:01:46.894720,8,0.00064048347125121,512,0.03864697739641786,0,COMPLETE
44,44,1.5550637210116667,0.0,2026-02-22 08:48:30.021664,2026-02-22 08:52:56.903004,0 days 00:04:26.881340,8,5.578278343013184e-05,256,0.0827009457170167,0,COMPLETE
45,45,1.587210602230496,0.0,2026-02-22 08:52:56.904448,2026-02-22 08:55:02.060364,0 days 00:02:05.155916,16,4.032983660639861e-05,512,0.012253654889242828,0,COMPLETE
46,46,0.8402327088748708,0.3199123893455302,2026-02-22 08:55:02.061630,2026-02-22 08:59:29.687376,0 days 00:04:27.625746,8,5.5763594205659396e-05,512,0.012003490235850579,0,COMPLETE
47,47,0.7477447655465868,0.4566637127219398,2026-02-22 08:59:29.689015,2026-02-22 09:04:15.773666,0 days 00:04:46.084651,16,0.0004840657763285803,512,0.07782119067667931,0,COMPLETE
48,48,1.5629647970199585,0.0,2026-02-22 09:04:15.775328,2026-02-22 09:08:44.646599,0 days 00:04:28.871271,8,1.3295398728338194e-05,256,0.09909567443961537,0,COMPLETE
