,number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_max_length,params_weight_decay,system_attrs_NSGAIISampler:generation,state
0,0,1.6020252466201783,0.0,2026-02-22 09:13:13.445154,2026-02-22 09:17:33.250453,0 days 00:04:19.805299,16,9.073843216282284e-06,256,0.02005846784053479,0,COMPLETE
1,1,1.0454290151596068,0.16139937623265438,2026-02-22 09:17:33.252096,2026-02-22 09:21:52.808573,0 days 00:04:19.556477,16,3.380722703947597e-05,256,0.07726702324550587,0,COMPLETE
2,2,0.604860520362854,0.5320684830091107,2026-02-22 09:21:52.810084,2026-02-22 09:24:31.789160,0 days 00:02:38.979076,32,0.0008237985152848568,512,0.03258392129414805,0,COMPLETE
3,3,1.549217983296043,0.0,2026-02-22 09:24:31.790858,2026-02-22 09:28:42.603569,0 days 00:04:10.812711,8,5.62803300660435e-06,512,0.01841838881774881,0,COMPLETE
4,4,1.573379635810852,0.0,2026-02-22 09:28:42.605194,2026-02-22 09:33:14.102507,0 days 00:04:31.497313,32,2.014617322829369e-05,512,0.0029137428908664444,0,COMPLETE
5,5,1.4493977427482605,0.0,2026-02-22 09:33:14.105210,2026-02-22 09:37:33.706566,0 days 00:04:19.601356,16,2.2386290240910128e-05,256,0.09874343226148986,0,COMPLETE
6,6,1.7268054962158204,0.0,2026-02-22 09:37:33.708385,2026-02-22 09:42:05.682264,0 days 00:04:31.973879,32,7.900642084455133e-06,256,0.03895991712427606,0,COMPLETE
7,7,1.8101760864257812,0.0,2026-02-22 09:42:05.683787,2026-02-22 09:46:37.821735,0 days 00:04:32.137948,32,6.807285137825556e-06,256,0.06612010713224867,0,COMPLETE
8,8,0.872758823633194,0.3060576174453329,2026-02-22 09:46:37.823486,2026-02-22 09:50:57.672205,0 days 00:04:19.848719,16,5.7361907272654156e-05,256,0.042019872794773,0,COMPLETE
9,9,1.604472279548645,0.0,2026-02-22 09:50:57.673782,2026-02-22 09:55:29.573830,0 days 00:04:31.900048,32,1.4831580530847365e-05,256,0.06370244140741388,0,COMPLETE
10,10,11.473710250854491,0.0023155398719774756,2026-02-22 09:55:29.575791,2026-02-22 10:00:06.202051,0 days 00:04:36.626260,32,1.4936472408711181e-06,512,0.04406895205560434,0,COMPLETE
11,11,1.64946112507268,0.0,2026-02-22 10:00:06.203680,2026-02-22 10:04:17.192034,0 days 00:04:10.988354,8,2.815061678429558e-06,256,0.09934198773019849,0,COMPLETE
12,12,2.3251112937927245,0.0,2026-02-22 10:04:17.193787,2026-02-22 10:08:50.237890,0 days 00:04:33.044103,32,4.605165891963956e-06,512,0.08229443155533428,0,COMPLETE
13,13,0.8830867001884862,0.3190879385562593,2026-02-22 10:08:50.239311,2026-02-22 10:13:01.039334,0 days 00:04:10.800023,8,2.4405772354970383e-05,512,0.07085700933855373,0,COMPLETE
14,14,0.623442804813385,0.529446521469395,2026-02-22 10:13:01.041725,2026-02-22 10:16:51.975686,0 days 00:03:50.933961,32,0.0005026378442566905,512,0.004322109395424367,0,COMPLETE
15,15,10.484543800354004,0.02190395843983409,2026-02-22 10:16:51.977737,2026-02-22 10:21:29.832230,0 days 00:04:37.854493,32,2.4379269264868297e-06,256,0.06176914240816024,0,COMPLETE
16,16,8.78208818435669,0.004576006403784174,2026-02-22 10:21:29.834314,2026-02-22 10:25:55.420983,0 days 00:04:25.586669,16,1.284482410910416e-06,512,0.03350926684936628,0,COMPLETE
17,17,11.716960144042968,0.018044488593130584,2026-02-22 10:25:55.422612,2026-02-22 10:30:31.999635,0 days 00:04:36.577023,32,1.398581779733951e-06,512,0.011427191532444992,0,COMPLETE
18,18,1.5423891167891652,0.0,2026-02-22 10:30:32.001345,2026-02-22 10:34:43.741751,0 days 00:04:11.740406,8,8.254749226845169e-06,256,0.0319095472030158,0,COMPLETE
19,19,1.5146260023117066,0.0,2026-02-22 10:34:43.744487,2026-02-22 10:39:03.917058,0 days 00:04:20.172571,16,1.2332578552567038e-05,256,0.03673204251390857,0,COMPLETE
20,20,1.10879647731781,0.06214789406164647,2026-02-22 10:39:03.918836,2026-02-22 10:43:14.459315,0 days 00:04:10.540479,8,1.3847927144277208e-05,256,0.08471610084524468,0,COMPLETE
21,21,1.3019594192504882,0.0,2026-02-22 10:43:14.461411,2026-02-22 10:47:34.366067,0 days 00:04:19.904656,16,2.1212549439635478e-05,256,0.0661340958744309,0,COMPLETE
22,22,0.6287282347679138,0.5224408246980998,2026-02-22 10:47:34.367785,2026-02-22 10:52:03.607333,0 days 00:04:29.239548,32,0.0004580808788704319,256,0.09725513915330455,0,COMPLETE
23,23,3.4944031715393065,0.0,2026-02-22 10:52:03.609271,2026-02-22 10:56:25.324717,0 days 00:04:21.715446,16,1.776999141381365e-06,256,0.0445623156762787,0,COMPLETE
24,24,0.6028498442549455,0.5497601499555765,2026-02-22 10:56:25.326775,2026-02-22 10:57:54.926107,0 days 00:01:29.599332,8,0.000729641215178785,256,0.02660802512692008,0,COMPLETE
25,25,0.7273089289665222,0.45894160383924987,2026-02-22 10:57:54.927693,2026-02-22 11:02:22.023764,0 days 00:04:27.096071,32,0.000355072349279187,256,0.08928444283395726,0,COMPLETE
26,26,0.644727327321705,0.505300889549073,2026-02-22 11:02:22.025365,2026-02-22 11:06:28.122286,0 days 00:04:06.096921,8,5.588944154654524e-05,512,0.08022763945328204,0,COMPLETE
27,27,0.6025703907012939,0.5527765370791768,2026-02-22 11:06:28.123789,2026-02-22 11:09:58.241501,0 days 00:03:30.117712,16,0.00032193439428098174,512,0.05509341970379477,0,COMPLETE
28,28,10.18923397064209,0.008089285948577322,2026-02-22 11:09:58.243249,2026-02-22 11:14:32.390674,0 days 00:04:34.147425,32,2.012095791426158e-06,256,0.06470279554371945,0,COMPLETE
29,29,0.808722048997879,0.35130776745286785,2026-02-22 11:14:32.392307,2026-02-22 11:18:50.335453,0 days 00:04:17.943146,16,6.056094151828109e-05,512,0.04298269101840614,0,COMPLETE
30,30,1.3769985675811767,0.0,2026-02-22 11:18:50.336980,2026-02-22 11:23:21.398199,0 days 00:04:31.061219,32,6.844949181236654e-05,256,0.03465942705569416,0,COMPLETE
31,31,0.6050826787948609,0.5315318637013366,2026-02-22 11:23:21.399996,2026-02-22 11:25:45.829948,0 days 00:02:24.429952,16,0.00046011560847210667,512,0.05365850682878645,0,COMPLETE
32,32,0.7781075000762939,0.38445567581849927,2026-02-22 11:25:45.831937,2026-02-22 11:30:16.870961,0 days 00:04:31.039024,32,0.00018406631746569746,512,0.03814460584626962,0,COMPLETE
33,33,0.8889412522315979,0.26656222674085217,2026-02-22 11:30:16.872781,2026-02-22 11:34:48.045704,0 days 00:04:31.172923,32,0.00012008373490209554,512,0.033232429497035344,0,COMPLETE
34,34,0.6529745399951935,0.5169833812841139,2026-02-22 11:34:48.047447,2026-02-22 11:39:06.349037,0 days 00:04:18.301590,16,0.00015274695031983603,512,0.09470453686912299,0,COMPLETE
35,35,1.6293514966964722,0.0,2026-02-22 11:39:06.350811,2026-02-22 11:43:39.158154,0 days 00:04:32.807343,32,1.1101409007701306e-05,256,0.09850267065019411,0,COMPLETE
36,36,1.2966269612312318,0.0,2026-02-22 11:43:39.159852,2026-02-22 11:47:58.663850,0 days 00:04:19.503998,16,3.119168031696477e-05,256,0.09774403488610292,0,COMPLETE
37,37,2.289456081390381,0.0,2026-02-22 11:47:58.665701,2026-02-22 11:52:19.991582,0 days 00:04:21.325881,16,2.3556435536134347e-06,256,0.005396652774727229,0,COMPLETE
38,38,2.3348718166351317,0.0,2026-02-22 11:52:19.993685,2026-02-22 11:56:40.903283,0 days 00:04:20.909598,16,2.1928384807840897e-06,256,0.09740947505975942,0,COMPLETE
39,39,1.6330947875976562,0.0,2026-02-22 11:56:40.905304,2026-02-22 12:01:12.765302,0 days 00:04:31.859998,32,1.0364246778633824e-05,512,0.06520180313295744,0,COMPLETE
40,40,1.542262649536133,0.0,2026-02-22 12:01:12.766846,2026-02-22 12:05:44.267696,0 days 00:04:31.500850,32,1.979971945815628e-05,512,0.04399936138694173,0,COMPLETE
41,41,0.7567630052566529,0.39697153562796283,2026-02-22 12:05:44.269372,2026-02-22 12:10:15.723091,0 days 00:04:31.453719,32,0.00016601225308145447,512,0.02707573663958414,0,COMPLETE
42,42,1.7870311617851258,0.0,2026-02-22 12:10:15.724570,2026-02-22 12:14:36.584423,0 days 00:04:20.859853,16,3.4479187795114056e-06,512,0.014322472445160918,0,COMPLETE
43,43,0.623971866933923,0.5679482819548777,2026-02-22 12:14:36.586155,2026-02-22 12:17:25.433976,0 days 00:02:48.847821,8,0.0003132033100627112,256,0.005246700350677947,0,COMPLETE
