,number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_max_length,params_weight_decay,system_attrs_NSGAIISampler:generation,state
0,0,0.9397442936897278,0.3919783632567088,2026-03-07 01:35:12.949956,2026-03-07 01:58:56.853490,0 days 00:23:43.903534,8,0.0008,1024,0.025,0,COMPLETE
1,1,0.9854754673110114,0.29829369620721613,2026-03-07 01:58:56.854355,2026-03-07 02:12:20.658842,0 days 00:13:23.804487,8,0.00055,512,0.07,0,COMPLETE
2,2,1.347614586353302,0.10657198796275542,2026-03-07 02:12:20.659881,2026-03-07 02:44:02.004143,0 days 00:31:41.344262,32,0.00030000000000000003,768,0.065,0,COMPLETE
3,3,1.1823097705841064,0.2000588195292632,2026-03-07 02:44:02.005052,2026-03-07 03:08:52.675311,0 days 00:24:50.670259,32,0.0005300000000000001,512,0.09,0,COMPLETE
4,4,0.9663463572661082,0.2824330182445387,2026-03-07 03:08:52.676385,2026-03-07 03:36:56.349620,0 days 00:28:03.673235,8,0.00026000000000000003,768,0.02,0,COMPLETE
5,5,1.0377378927336798,0.30473098196359083,2026-03-07 03:36:56.350470,2026-03-07 03:48:34.647951,0 days 00:11:38.297481,8,0.0007000000000000001,512,0.05,0,COMPLETE
6,6,1.0470406467264348,0.31207144020139155,2026-03-07 03:48:34.648816,2026-03-07 04:02:28.844029,0 days 00:13:54.195213,32,0.00076,256,0.055,0,COMPLETE
7,7,1.0323633892195565,0.314081425719936,2026-03-07 04:02:28.845139,2026-03-07 04:39:09.893323,0 days 00:36:41.048184,16,0.0008300000000000001,1024,0.04,0,COMPLETE
8,8,1.4739452600479126,0.03355359479828923,2026-03-07 04:39:09.894522,2026-03-07 05:20:15.312053,0 days 00:41:05.417531,32,0.0005000000000000001,1024,0.02,0,COMPLETE
9,9,1.6168296553871848,0.017824619512159537,2026-03-07 05:20:15.312891,2026-03-07 05:46:16.086326,0 days 00:26:00.773435,32,6e-05,256,0.06,0,COMPLETE
10,10,2.0265443483988443,0.0,2026-03-07 05:46:16.087728,2026-03-07 06:18:36.969504,0 days 00:32:20.881776,8,1e-05,768,0.1,0,COMPLETE
11,11,0.982641077041626,0.3040162520582702,2026-03-07 06:18:36.970242,2026-03-07 06:42:21.617575,0 days 00:23:44.647333,8,0.00033000000000000005,768,0.0,0,COMPLETE
12,12,0.9377629299958546,0.33782041160086257,2026-03-07 06:42:21.618715,2026-03-07 06:57:30.446101,0 days 00:15:08.827386,8,0.0008300000000000001,768,0.065,0,COMPLETE
13,13,1.1207775592803955,0.2639260764505439,2026-03-07 06:57:30.447234,2026-03-07 07:22:19.056686,0 days 00:24:48.609452,32,0.0006700000000000001,512,0.065,0,COMPLETE
14,14,1.9781737625598907,0.0,2026-03-07 07:22:19.057677,2026-03-07 07:53:59.231392,0 days 00:31:40.173715,32,7.000000000000001e-05,768,0.03,0,COMPLETE
15,15,0.9495499432086945,0.332628715318411,2026-03-07 07:53:59.232277,2026-03-07 08:26:23.139386,0 days 00:32:23.907109,8,0.00024,768,0.09,0,COMPLETE
16,16,1.0885826845963795,0.3241777089488637,2026-03-07 08:26:23.140577,2026-03-07 08:38:23.938281,0 days 00:12:00.797704,16,0.00068,256,0.04,0,COMPLETE
17,17,1.5891961306333542,0.017622078361569784,2026-03-07 08:38:23.939845,2026-03-07 09:10:36.532231,0 days 00:32:12.592386,16,9e-05,768,0.085,0,COMPLETE
18,18,1.0933696746826171,0.225111561872909,2026-03-07 09:10:36.533329,2026-03-07 09:35:24.957076,0 days 00:24:48.423747,32,0.00043000000000000004,512,0.035,0,COMPLETE
19,19,1.067618776385377,0.36654793272650055,2026-03-07 09:35:24.957934,2026-03-07 09:46:24.206541,0 days 00:10:59.248607,8,0.00076,256,0.065,0,COMPLETE
20,20,1.3218694925308228,0.07833398539651175,2026-03-07 09:46:24.208256,2026-03-07 10:27:16.237144,0 days 00:40:52.028888,16,0.00019,1024,0.075,0,COMPLETE
21,21,0.9849413649903404,0.32898572553976135,2026-03-07 10:27:16.238180,2026-03-07 10:40:44.808148,0 days 00:13:28.569968,8,0.0005200000000000001,512,0.095,0,COMPLETE
22,22,1.1239207603714683,0.2735596660167981,2026-03-07 10:40:44.809092,2026-03-07 10:54:42.634322,0 days 00:13:57.825230,32,0.0008,256,0.1,0,COMPLETE
23,23,1.1398526906967164,0.21491741161278344,2026-03-07 10:54:42.635469,2026-03-07 11:19:34.617818,0 days 00:24:51.982349,32,0.00032,512,0.055,0,COMPLETE
24,24,0.9827392493806234,0.3371917388216365,2026-03-07 11:19:34.618519,2026-03-07 11:30:36.250039,0 days 00:11:01.631520,8,0.00044000000000000007,256,0.095,0,COMPLETE
25,25,1.242154202858607,0.13345110894810105,2026-03-07 11:30:36.251244,2026-03-07 12:03:06.628666,0 days 00:32:30.377422,8,7.000000000000001e-05,768,0.045,0,COMPLETE
