,number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_max_length,params_weight_decay,system_attrs_NSGAIISampler:generation,state
0,0,0.9912279082669152,0.40068267654424444,2026-03-12 22:02:47.822674,2026-03-12 22:07:44.203344,0 days 00:04:56.380670,16,0.00035000000000000005,256,0.075,0,COMPLETE
1,1,0.9381166696548462,0.3801007710338263,2026-03-12 22:07:44.203937,2026-03-12 22:12:41.999222,0 days 00:04:57.795285,8,0.0003600000000000001,512,0.09,0,COMPLETE
2,2,0.9786183569166396,0.39290474042347817,2026-03-12 22:12:41.999803,2026-03-12 22:17:53.792389,0 days 00:05:11.792586,16,0.0003600000000000001,256,0.075,0,COMPLETE
3,3,0.9637012183666229,0.4000704934511269,2026-03-12 22:17:53.793023,2026-03-12 22:22:20.243793,0 days 00:04:26.450770,16,0.0005200000000000001,256,0.07,0,COMPLETE
4,4,0.9657972314528056,0.3832747946323798,2026-03-12 22:22:20.244388,2026-03-12 22:29:52.627028,0 days 00:07:32.382640,8,0.0001,256,0.02,0,COMPLETE
5,5,2.0422934558656483,0.0,2026-03-12 22:29:52.627643,2026-03-12 22:32:40.142574,0 days 00:02:47.514931,16,0.00051,512,0.045,0,COMPLETE
6,6,2.081413459777832,0.0,2026-03-12 22:32:40.143231,2026-03-12 22:35:48.086665,0 days 00:03:07.943434,32,0.0005400000000000001,512,0.09,0,COMPLETE
7,7,2.033812012937334,0.0,2026-03-12 22:35:48.087275,2026-03-12 22:37:24.577721,0 days 00:01:36.490446,16,0.00068,256,0.03,0,COMPLETE
8,8,1.0164515243636236,0.38057560674591207,2026-03-12 22:37:24.578341,2026-03-12 22:44:30.611340,0 days 00:07:06.032999,32,0.0006200000000000001,256,0.05,0,COMPLETE
9,9,2.0364903476503162,0.0,2026-03-12 22:44:30.612009,2026-03-12 22:47:19.101945,0 days 00:02:48.489936,16,0.0008500000000000001,512,0.04,0,COMPLETE
10,10,2.079716944694519,0.0,2026-03-12 22:47:19.102553,2026-03-12 22:49:30.726491,0 days 00:02:11.623938,32,0.00072,512,0.095,0,COMPLETE
11,11,2.0177317526605396,0.0,2026-03-12 22:49:30.727076,2026-03-12 22:54:26.511939,0 days 00:04:55.784863,16,0.00048000000000000007,256,0.015,0,COMPLETE
12,12,1.3056788974338107,0.11815328153781687,2026-03-12 22:54:26.512545,2026-03-12 23:01:22.886712,0 days 00:06:56.374167,16,0.00016,512,0.005,0,COMPLETE
13,13,2.0761504888534548,0.0,2026-03-12 23:01:22.887374,2026-03-12 23:04:31.393626,0 days 00:03:08.506252,32,0.0006100000000000001,512,0.045,0,COMPLETE
