,number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_max_length,params_weight_decay,system_attrs_NSGAIISampler:generation,state
0,0,2.7649619579315186,0.0,2026-02-22 12:42:25.774189,2026-02-22 12:49:33.341301,0 days 00:07:07.567112,16,8.255985458951913e-06,256,0.004705079157016879,0,COMPLETE
1,1,2.0524372339248655,0.0,2026-02-22 12:49:33.343040,2026-02-22 12:52:40.008450,0 days 00:03:06.665410,32,0.00022511039565012637,256,0.036730408034044905,0,COMPLETE
2,2,2.1343488693237305,0.0,2026-02-22 12:52:40.010203,2026-02-22 12:59:50.759728,0 days 00:07:10.749525,32,3.355539576190481e-05,512,0.08662991583441743,0,COMPLETE
3,3,2.046855674849616,0.0,2026-02-22 12:59:50.761405,2026-02-22 13:02:02.469800,0 days 00:02:11.708395,16,0.00016157972349300608,256,0.02197702291316274,0,COMPLETE
4,4,2.0490783188078137,0.0,2026-02-22 13:02:02.471218,2026-02-22 13:06:08.447998,0 days 00:04:05.976780,16,5.9718658807853635e-05,512,0.051598567744516925,0,COMPLETE
5,5,2.0522457122802735,0.0,2026-02-22 13:06:08.449683,2026-02-22 13:08:20.823415,0 days 00:02:12.373732,32,0.00042284024369931535,512,0.08811479508366893,0,COMPLETE
6,6,7.114062281215892,0.0,2026-02-22 13:08:20.825070,2026-02-22 13:15:18.561825,0 days 00:06:57.736755,8,2.0156564653380673e-06,512,0.09362840514105522,0,COMPLETE
7,7,2.048079800605774,0.0,2026-02-22 13:15:18.563537,2026-02-22 13:18:10.763280,0 days 00:02:52.199743,32,0.0002586620788506257,256,0.06320303929037845,0,COMPLETE
8,8,39.71223449707031,0.0036489493497647435,2026-02-22 13:18:10.765047,2026-02-22 13:25:34.161549,0 days 00:07:23.396502,32,1.04647707270802e-06,512,0.02314717201483322,0,COMPLETE
9,9,31.871796798706054,0.004308031700729647,2026-02-22 13:25:34.163351,2026-02-22 13:32:55.559509,0 days 00:07:21.396158,32,1.8152388215337444e-06,256,0.0856851261511343,0,COMPLETE
10,10,2.051414555973477,0.0,2026-02-22 13:32:55.561182,2026-02-22 13:38:05.589076,0 days 00:05:10.027894,16,0.00011109941737134644,256,0.07094376502265828,0,COMPLETE
11,11,5.269594383239746,0.0,2026-02-22 13:38:05.590267,2026-02-22 13:45:15.330487,0 days 00:07:09.740220,32,7.717268819938917e-06,512,0.00834091876537102,0,COMPLETE
12,12,2.051377511024475,0.0,2026-02-22 13:45:15.332231,2026-02-22 13:50:56.448175,0 days 00:05:41.115944,32,9.673449884381493e-05,512,0.04605166170169298,0,COMPLETE
13,13,8.639475059509277,0.0,2026-02-22 13:50:56.449836,2026-02-22 13:58:08.102295,0 days 00:07:11.652459,32,6.405097199283915e-06,256,0.014668456213890868,0,COMPLETE
14,14,2.0538949833975897,0.0,2026-02-22 13:58:08.104076,2026-02-22 14:05:12.096441,0 days 00:07:03.992365,16,3.612428658933336e-05,512,0.09438677332873419,0,COMPLETE
15,15,2.0364766050787533,0.0,2026-02-22 14:05:12.098204,2026-02-22 14:10:42.476185,0 days 00:05:30.377981,8,2.4635434270288492e-05,256,0.022836823729651446,0,COMPLETE
16,16,27.13951187133789,0.0033565206263732167,2026-02-22 14:10:42.478021,2026-02-22 14:18:01.283466,0 days 00:07:18.805445,32,1.964706682363079e-06,256,0.08994101798211096,0,COMPLETE
17,17,2.02976832670324,0.0,2026-02-22 14:18:01.285187,2026-02-22 14:20:21.161201,0 days 00:02:19.876014,8,6.371765547266212e-05,256,0.0008001609302072055,0,COMPLETE
18,18,2.045731120639377,0.0,2026-02-22 14:20:21.162929,2026-02-22 14:22:59.062262,0 days 00:02:37.899333,16,0.00011743973265651267,256,0.035315671216756585,0,COMPLETE
19,19,2.053436835606893,0.0,2026-02-22 14:22:59.063983,2026-02-22 14:30:02.488305,0 days 00:07:03.424322,16,3.650980514410773e-05,512,0.07925883398664206,0,COMPLETE
20,20,2.1545047760009766,0.0,2026-02-22 14:30:02.490031,2026-02-22 14:37:10.467319,0 days 00:07:07.977288,32,3.0801571966073833e-05,256,0.020630046061368958,0,COMPLETE
21,21,2.2097597122192383,0.0,2026-02-22 14:37:10.468938,2026-02-22 14:44:18.777434,0 days 00:07:08.308496,32,2.8782591610982652e-05,256,0.08221407902985937,0,COMPLETE
22,22,3.6974258422851562,0.0,2026-02-22 14:44:18.779158,2026-02-22 14:51:28.070260,0 days 00:07:09.291102,32,1.1586549074410229e-05,512,0.02423270126287437,0,COMPLETE
23,23,28.454194641113283,0.0016730696709822551,2026-02-22 14:51:28.072035,2026-02-22 14:58:47.124139,0 days 00:07:19.052104,32,2.7489619098877787e-06,256,0.07149167148970287,0,COMPLETE
24,24,15.611139297485352,0.0007808646127654037,2026-02-22 14:58:47.125778,2026-02-22 15:06:02.400110,0 days 00:07:15.274332,32,4.160597651016334e-06,256,0.025011390629409026,0,COMPLETE
